id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1125097,https://www.airbnb.com/rooms/1125097,20250927041735,2025-09-27,city scrape,Strathlyn Coach House Barossa,"Please note there is a minimum stay of 2 nights.<br />Make use of the new Gymnasium and Guest Laundry on the property.<br />Enjoy the location set among the vineyards.<br />Conveniently close to the town of Angaston, cafes, restaurants, wineries and  bike track.",Strathlyn Estate is a very private property surrounded by extensive gardens. It is off the main road located amongst vineyards within walking distance of Saltram Winery. The accommodation is 1 km from Angaston town where guests can access the start of the bike track that runs through the centre of the Barossa Valley to Gawler.,https://a0.muscache.com/pictures/16953708/b789c3ad_original.jpg,6172214,https://www.airbnb.com/users/show/6172214,Heather,2013-05-01,,I have been a long time resident of the Barossa Valley.I would be happy to provide you with information about local points of interest.,within a day,100%,95%,t,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,Neighborhood highlights,Angaston,,-34.49563,139.0293,Entire cottage,Entire home/apt,2,1.0,1 bath,1,1,"[""Coffee maker"", ""Heating"", ""Hot water"", ""First aid kit"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Bed linens"", ""Patio or balcony"", ""Dryer"", ""Iron"", ""Kitchen"", ""Gym"", ""Stove"", ""Extra pillows and blankets"", ""TV"", ""Refrigerator"", ""Hangers"", ""Air conditioning"", ""Private entrance"", ""BBQ grill"", ""Washer"", ""Backyard"", ""Fire extinguisher"", ""Shampoo"", ""Cooking basics"", ""Essentials"", ""Host greets you"", ""Smoke alarm"", ""Hair dryer"", ""Exterior security cameras on property"", ""Free parking on premises"", ""Breakfast""]",$229.00,2,14,2,2,14,14,2.0,14.0,,t,22,46,70,327,2025-09-27,228,17,2,72,15,102,23358,2013-09-13,2025-09-21,4.87,4.93,4.89,4.99,4.97,4.96,4.74,,f,3,2,1,0,1.56
1133195,https://www.airbnb.com/rooms/1133195,20250927041735,2025-09-27,city scrape,Strathlyn Lemon Tree Spa  Barossa,"Enjoy the charms of the Barossa Valley in this self contained cottage on the beautiful Strathlyn Estate located just out of Angaston.<br />If you are on an extended holiday, you have the convenience of a guest laundry on the property and a new Gymnasium.","Enjoy the tranquility of staying on the beautiful Strathlyn Estate, surrounded on all sides by historic vineyards.<br />Strathlyn Estate is within walking distance of Saltram Winery and the Farmers Market. The accommodation is 1 km from Angaston town where guests can access the start of the bike track that runs through the centre of the Barossa Valley to Gawler.",https://a0.muscache.com/pictures/17370883/ef4b46e7_original.jpg,6172214,https://www.airbnb.com/users/show/6172214,Heather,2013-05-01,,I have been a long time resident of the Barossa Valley.I would be happy to provide you with information about local points of interest.,within a day,100%,95%,t,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,Neighborhood highlights,Angaston,,-34.49538,139.03086,Entire cottage,Entire home/apt,2,1.0,1 bath,1,1,"[""Coffee maker"", ""Heating"", ""Hot water"", ""First aid kit"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Bed linens"", ""Patio or balcony"", ""Dryer"", ""Iron"", ""Kitchen"", ""Gym"", ""Stove"", ""Extra pillows and blankets"", ""TV"", ""Refrigerator"", ""Hangers"", ""Air conditioning"", ""Private entrance"", ""BBQ grill"", ""Hot tub"", ""Washer"", ""Backyard"", ""Fire extinguisher"", ""Shampoo"", ""Cooking basics"", ""Essentials"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Breakfast""]",$213.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,22,49,79,350,2025-09-27,87,10,0,85,6,60,12780,2014-09-30,2025-08-15,4.86,4.84,4.87,4.98,4.91,4.94,4.7,,f,3,2,1,0,0.65
1133236,https://www.airbnb.com/rooms/1133236,20250927041735,2025-09-27,city scrape,Strathlyn Spa Garden Suites Barossa,The spa garden suites are located on the eastern side of the main residence at Strathlyn Estate. They are very private with their own access from the garden. They are tastefully and comfortably furnished. Each features a luxury bathroom with spa.,Strathlyn Estate is a very private property surrounded by extensive gardens. It is off the main road located amongst vineyards within walking distance of Saltram Winery. The accommodation is 1 km from Angaston town where guests can access the start of the bike track that runs through the centre of the Barossa Valley to Gawler.,https://a0.muscache.com/pictures/17371242/8a9bd311_original.jpg,6172214,https://www.airbnb.com/users/show/6172214,Heather,2013-05-01,,I have been a long time resident of the Barossa Valley.I would be happy to provide you with information about local points of interest.,within a day,100%,95%,t,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,Neighborhood highlights,Penrice,,-34.49372,139.03199,Private room in rental unit,Private room,2,1.0,1 private bath,1,1,"[""Essentials"", ""Lock on bedroom door"", ""Gym"", ""Dryer"", ""TV"", ""Heating"", ""Hangers"", ""Air conditioning"", ""Hot tub"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Free parking on premises"", ""Washer"", ""Shampoo"", ""Breakfast""]",$237.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,20,48,78,351,2025-09-27,74,8,0,84,5,48,11376,2014-01-27,2025-08-24,4.88,4.92,4.89,4.95,4.92,4.92,4.61,,f,3,2,1,0,0.52
1710462,https://www.airbnb.com/rooms/1710462,20250927041735,2025-09-27,city scrape,Shea-Oak Log Studio Shed,"Our converted shed is a cozy and comfortable one bedroomed studio with glossy kitchen, granite bench tops, timber floors, shiny bathroom and large carpeted bedroom with a comfy queen bed. The studio has everything you could possibly need to have a wonderful and comfortable stay.<br />Located in western Barossa, just off the Sturt Hwy, minutes away from Barossa attractions and 50 minutes from Adelaide. Be Consumed-In the Barossa.","The Studio is located in a very unique area. There are no close by neighbouring houses, you are moments off of the Sturt Highway which leads you to the heart of the Barossa in 10 minutes and to Adelaide in 50 minutes. The studio is situated at the southern end of our property which is close to the Sturt Highway, this is great for access but you can hear the road noise from the studio. You are surrounded by the Barossa Ranges, vineyards and broadacre crops. No one will bother you here!",https://a0.muscache.com/pictures/miso/Hosting-1710462/original/2a15553d-684e-43cb-86a4-9d8261f21297.jpeg,6645956,https://www.airbnb.com/users/show/6645956,Kylie And Tom,2013-05-29,"Shea-Oak Log, Australia","We are a family of 4 who live, work and play in the Barossa Valley. We live on a small vineyard and make our own wine. We love the big outdoors, camping, the Murray river and doing things as a family. 
We are true locals and know the Barossa inside and out.
We live on the property but are far enough away to not bother you at all and let you enjoy yourselves but close enough if you have any problems.",within a day,100%,97%,f,https://a0.muscache.com/im/users/6645956/profile_pic/1380189231/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6645956/profile_pic/1380189231/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Shea-Oak Log,,-34.51049,138.81731,Entire cabin,Entire home/apt,2,1.0,1 bath,1,1,"[""Valley view"", ""Lockbox"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""Dishes and silverware"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Bed linens"", ""Books and reading material"", ""Oven"", ""Self check-in"", ""Freezer"", ""Dining table"", ""Iron"", ""Kitchen"", ""AC - split type ductless system"", ""Clothing storage: wardrobe and dresser"", ""Outdoor furniture"", ""Stove"", ""Room-darkening shades"", ""Cleaning products"", ""Shower gel"", ""Extra pillows and blankets"", ""Free parking on premises"", ""TV"", ""Dedicated workspace"", ""Hangers"", ""Refrigerator"", ""Baking sheet"", ""Private entrance"", ""Laundromat nearby"", ""Backyard"", ""Shampoo"", ""Fire extinguisher"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Conditioner"", ""Crib - available upon request"", ""Microwave"", ""Portable fans"", ""Smoke alarm"", ""Hair dryer"", ""Hot water kettle"", ""Body soap"", ""Toaster""]",$104.00,2,1125,1,2,1125,1125,2.0,1125.0,,t,19,47,71,344,2025-09-27,599,26,1,76,28,156,16224,2013-11-03,2025-09-05,4.76,4.83,4.71,4.96,4.95,4.61,4.83,,f,1,1,0,0,4.13
2028951,https://www.airbnb.com/rooms/2028951,20250927041735,2025-09-27,city scrape,"2 bedrooms with Woodfire, Barossa Country Cottages","Relax as a couple, or with the whole family, at our peaceful cottage. Historic Lyndoch is the ideal place from which to experience the famous Barossa Valley.  The cottage is just a short 800 metres from the shops, bakery, and more. Restaurants and vineyards are within minutes. We supply free bicycles to explore the Barossa Cycling trails (Pre booking required). A second cottage is available on the site if you search airbnb for "" 2 bedroom family cottage - sleeps up to 6 "".",,https://a0.muscache.com/pictures/miso/Hosting-2028951/original/3bf45951-2894-4638-882c-a45cd1fd7068.jpeg,10421165,https://www.airbnb.com/users/show/10421165,Mark And Fiona,2013-12-04,"Lyndoch, Australia","Hi, We love hosting people at our cottages in the Barossa, both at the 1890s historic Barossa Hills Cottages in Springton, and these two bedroom family cottages at Lyndoch. In February 2022 the previous owners retired, and we have now refreshed the cottages - which are renowned throughout the Barossa as affordable family (& pet!) friendly accommodation.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ac9ad189-b8a2-448d-a071-8e40760ddf46.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ac9ad189-b8a2-448d-a071-8e40760ddf46.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,,Lyndoch,,-34.60392,138.88311,Entire vacation home,Entire home/apt,4,1.0,1 bath,2,2,"[""Coffee maker"", ""Lockbox"", ""Heating"", ""Wifi"", ""32 inch HDTV"", ""Crib"", ""First aid kit"", ""Dishes and silverware"", ""Outdoor dining area"", ""Private patio or balcony"", ""Garden view"", ""Indoor fireplace: wood-burning"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Kitchen"", ""Outdoor furniture"", ""Shared backyard \u2013 Fully fenced"", ""Free washer \u2013 In unit"", ""Refrigerator"", ""Dedicated workspace"", ""Air conditioning"", ""BBQ grill"", ""Fire extinguisher"", ""Cooking basics"", ""Pets allowed"", ""High chair"", ""Smoke alarm"", ""Hair dryer"", ""Exterior security cameras on property"", ""Free parking on premises""]",$184.00,2,1125,2,2,2,1125,2.0,273.0,,t,15,36,62,284,2025-09-27,46,14,2,67,15,84,15456,2022-04-10,2025-09-22,4.76,4.74,4.8,4.91,4.87,4.76,4.57,,t,2,2,0,0,1.09
2327616,https://www.airbnb.com/rooms/2327616,20250927041735,2025-09-27,city scrape,Gawler River Farm B and B.,"The comfortable, stylish, large one bedroom apartment is situated on a working sheep farm. Enjoy country life, night stars, birds at dawn. 30 min. to the Barossa Valley, 60 min. Clare Valley, 40 min. Adelaide CBD.<br />10 min. Gawler Gliding club.",The Gawler River area is the closest flat farming area to Adelaide. Studded with gum trees the farm land is park like. The view to the East is of the blue Mt Lofty ranges sweeping round to the Barossa Valley.,https://a0.muscache.com/pictures/6918de97-1185-446e-ac47-67c78a0a5a53.jpg,6713275,https://www.airbnb.com/users/show/6713275,Bill,2013-06-03,"Gawler River, Australia","My family have farmed in Gawler River since 1847. My farm runs the oldest Poll Dorset sheep stud in the world, I also grow cereal crops. Having lived in Gawler River all my live I have a detailed knowledge of the area, its history and attractions.
I enjoy traveling, meeting people and have many friends around the world. Especially through a long involvement with Rotary Youth Exchange.  ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/327f5b26-5ce4-48cc-a34a-888dd6c54178.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/327f5b26-5ce4-48cc-a34a-888dd6c54178.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Gawler River,,-34.60549,138.64723,Entire guesthouse,Entire home/apt,3,1.0,1 bath,1,2,"[""Heating"", ""Wifi"", ""Crib"", ""Hot water"", ""First aid kit"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Bed linens"", ""Dryer"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shared patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Window AC unit"", ""Carbon monoxide alarm"", ""TV"", ""Dedicated workspace"", ""Hangers"", ""Refrigerator"", ""BBQ grill"", ""Washer"", ""Shampoo"", ""Essentials"", ""High chair"", ""Children\u2019s books and toys"", ""Microwave"", ""Host greets you"", ""Smoke alarm"", ""Hair dryer"", ""Exterior security cameras on property"", ""Free parking on premises"", ""Single level home"", ""Breakfast""]",$105.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,25,52,81,356,2025-09-27,227,27,2,87,29,162,17010,2015-02-17,2025-09-14,4.74,4.79,4.59,4.93,4.92,4.83,4.77,,f,1,1,0,0,1.76
2567051,https://www.airbnb.com/rooms/2567051,20250927041735,2025-09-27,city scrape,The Miners Cottage Barossa Valley,"The Miners Cottage is beautifully restored with modern comforts and old world charm. Open fire, gorgeous bathroom, comfy bed, peace and quiet, sleeps two. The Miners Barn, right next to the cottage, can be added to your booking to sleep an extra two people. Beautiful views from every aspect. <br />A booking for four will be in two seperate cottages- two in the Miners Cottage and two in the Barn. They are right next to each other.","Set in rural surrounds on the edge of the Barossa, 7 mins to Lyndoch, 10 mins to Gawler, 15 mins to Tanunda, 30 mins to Angaston. <br /><br />Tour the wineries, visit the farmers market, eat out, ride the Bike trail, fossick in an antique store...",https://a0.muscache.com/pictures/33850379/5f30c377_original.jpg,10726293,https://www.airbnb.com/users/show/10726293,Rebecca,2013-12-20,"Cockatoo Valley, Australia","Rebecca lives on the property with her husband and their 3 children.  They have a dog, cat, chooks, a duck and a few pet sheep.  Chances are you'll enjoy eggs fresh from the henhouse when you stay at The Miners Cottage!  ",N/A,N/A,0%,f,https://a0.muscache.com/im/pictures/user/845c76d9-fe66-45b1-8424-ec5abfd5cd3a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/845c76d9-fe66-45b1-8424-ec5abfd5cd3a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,Neighborhood highlights,Cockatoo Valley,,-34.63808,138.84598,Private room in bed and breakfast,Private room,4,2.0,2 baths,2,2,"[""Heating"", ""Long term stays allowed"", ""Hot water"", ""First aid kit"", ""Outdoor dining area"", ""Indoor fireplace"", ""Dryer"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Kitchen"", ""Outdoor furniture"", ""Private pool"", ""TV"", ""Refrigerator"", ""Hangers"", ""Air conditioning"", ""BBQ grill"", ""Washer"", ""Backyard"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Pets allowed"", ""High chair"", ""Board games"", ""Host greets you"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Breakfast""]",$182.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,2,12,205,2025-09-27,33,1,0,16,1,6,1092,2014-11-10,2024-10-06,4.85,4.88,4.91,5.0,4.94,4.85,4.76,,f,1,0,1,0,0.25
5289072,https://www.airbnb.com/rooms/5289072,20250927041735,2025-09-27,city scrape,Mt McKenzie Raspberry Farm,"If you long for a quiet retreat away from the crowds and close to nature, Mt McKenzie Raspberry Farm could be for you. Perched on the hills above the North Para River in the south eastern ranges of the Barossa, you will be serenaded with the tweets from native birds, bleets from lambs and mesmerised by stunning sunrises and sunsets.<br />When the riches of local food and wine are needed, wineries, markets, cheese shops, cafe's and restaurants are just a 10 minute drive.",The beauty of Mt McKenzie is location.<br />Close to all the facilities that the Barossa Valley offers while giving privacy and independence of a rural property.,https://a0.muscache.com/pictures/airflow/Hosting-5289072/original/257d0efa-cb0a-40b5-a1fe-80a0cc76cc6d.jpg,27321203,https://www.airbnb.com/users/show/27321203,Phillip,2015-02-06,"Millswood, Australia","",within an hour,100%,78%,t,https://a0.muscache.com/im/pictures/user/0271fa82-a191-4771-b727-83da22836263.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0271fa82-a191-4771-b727-83da22836263.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Flaxman Valley,,-34.56405,139.07988,Entire cabin,Entire home/apt,6,2.0,2 baths,3,3,"[""Valley view"", ""Heating"", ""Dishwasher"", ""Hot water"", ""First aid kit"", ""Dishes and silverware"", ""Private patio or balcony"", ""Bed linens"", ""Indoor fireplace"", ""Oven"", ""Iron"", ""Kitchen"", ""Outdoor furniture"", ""Stove"", ""Private backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""TV"", ""Dedicated workspace"", ""Hangers"", ""Air conditioning"", ""Refrigerator"", ""Private entrance"", ""BBQ grill"", ""Washer"", ""Fire extinguisher"", ""Shampoo"", ""Cooking basics"", ""Essentials"", ""Microwave"", ""Host greets you"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Single level home""]",$184.00,3,200,3,3,200,200,3.0,200.0,,t,5,14,40,228,2025-09-27,152,16,2,40,14,96,17664,2015-10-26,2025-09-13,4.93,4.94,4.95,4.98,4.99,4.96,4.9,,f,1,1,0,0,1.26
5426792,https://www.airbnb.com/rooms/5426792,20250927041735,2025-09-27,city scrape,"""The Shed""","At first glance, yes it's a shed. But explore further and you will find an unique Aussie experience, a fully functional self contained room. Shower, toilet and kitchenette. All private and seperate from our house. It's normally used for overnighters by family and friends. Please be open minded in your expectations, it's not the Ritz, Hilton, Taj Mahal but what it is clean, tidy, private affordable accomadation. Single or couple. Please  note that toilet, shower and sink are located in same room.",Our residence is in a quiet street. We have lived at the same address for over 20yrs. We have a very safe neighbourhood and we have a good relationship with our neighbour's.,https://a0.muscache.com/pictures/95e40b07-63a6-4857-adae-122b1761c2f7.jpg,28149709,https://www.airbnb.com/users/show/28149709,Andrew & Belinda,2015-02-22,"Nuriootpa, Australia","My wife and I regard ourselves as very sociable people. I myself am an avid home brewer and love fine wine and social gatherings. Married since 1992 and have two adult children. Born and lived in the Barossa all my life with strong family ties and local knowledge. I work within the wine industry. Enjoy open air concerts, having been to numerous ""Day On The Green"" concerts. Love all types of music 
but especially 80's.",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/62590d58-3386-4ed5-a68d-a61a93801b36.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/62590d58-3386-4ed5-a68d-a61a93801b36.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Nuriootpa,,-34.46333,139.00032,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1,1,"[""Lockbox"", ""Smoking allowed"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Hot water"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Central air conditioning"", ""Cleaning products"", ""TV"", ""Laundromat nearby"", ""Backyard"", ""Cooking basics"", ""Essentials"", ""Mini fridge"", ""Microwave"", ""Free street parking"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Free parking on premises"", ""Body soap""]",$71.00,1,35,1,1,1125,1125,1.0,1125.0,,t,9,33,61,210,2025-09-27,206,19,3,67,30,114,8094,2015-11-23,2025-09-11,4.8,4.95,4.91,4.96,4.98,4.9,4.89,,t,1,1,0,0,1.72
5537173,https://www.airbnb.com/rooms/5537173,20250927041735,2025-09-27,city scrape,1837 Barossa Luxury  Vineyard Cottage S Australia,"Beautiful cottage facing vineyard.  French provincial style in Lyndoch, fully equipped kitchen, bathroom with spa, 2 showers, 2TVs, outdoor sitting with views of Barossa Ranges and vineyards. Enjoy the beautiful Barossa sunrise from your bedroom and sunset from the William Light Monument Park. Coffee (Nespresso) and tea provided. Stroll around vineyard and watch out for kangaroos and native birds. Wi-Fi included. Tennis court is available to all guests at our cottages.","Surrounded by lovely vineyards and wineries, kangaroos and beautiful birds.<br />A perfect place to relax and enjoy the calmness of the country yet just an hour away from Adelaide. Stroll around the vineyard and enjoy the breathtaking views of the Barossa Ranges. Visit Colonel William Light Monument on the estate.",https://a0.muscache.com/pictures/4369d6d2-ef5a-4c14-9244-7e0eaba31707.jpg,28712482,https://www.airbnb.com/users/show/28712482,Nelly,2015-03-03,,"I am a Montessori teacher and at present working with children diagnosed with ASD. Love meeting people, friendly and easy going.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/af750c7b-6b65-4424-a815-819c3f2984d6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/af750c7b-6b65-4424-a815-819c3f2984d6.jpg?aki_policy=profile_x_medium,,3,8,"['email', 'phone']",t,t,Neighborhood highlights,Lyndoch,,-34.58503,138.86457,Entire villa,Entire home/apt,2,1.0,1 bath,1,1,"[""Heating"", ""Wifi"", ""Dishwasher"", ""Long term stays allowed"", ""Hot water"", ""Dishes and silverware"", ""Barbecue utensils"", ""Private backyard"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Bed linens"", ""Indoor fireplace"", ""Dryer"", ""Oven"", ""Self check-in"", ""Freezer"", ""Iron"", ""Kitchen"", ""Stove"", ""Shower gel"", ""Extra pillows and blankets"", ""Private hot tub"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Hangers"", ""Air conditioning"", ""Baking sheet"", ""Private entrance"", ""BBQ grill"", ""Washer"", ""Fire extinguisher"", ""Shampoo"", ""TV with standard cable"", ""Cooking basics"", ""Essentials"", ""Smart lock"", ""Mini fridge"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker: Nespresso"", ""Single level home""]",$413.00,2,90,2,2,90,90,2.0,90.0,,t,25,48,67,328,2025-09-27,40,3,1,67,2,18,7434,2018-09-23,2025-09-20,4.95,4.98,5.0,4.95,4.98,4.93,4.78,,t,3,3,0,0,0.47
