id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
21302,https://www.airbnb.com/rooms/21302,20250928035044,2025-09-28,city scrape,Great Ocean Haven,"If you are looking for a beach house to relax and share some time with family or friends you have found it. In summer, holidays here are about swimming, lying on the deck, reading, playing cricket in the backyard and exploring the Great Ocean Road. Winters are happily spent cooking in the state of the art kitchen, relaxing by the fire, catching up on netflix, drinking champagne and sleeping in those beautiful linen sheets.","We are situated minutes walking distance to the beach, shops and cafes.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjEzMDI=/original/d69be93d-d28c-4ace-9e0f-a3f4479d030b.png,81292,https://www.airbnb.com/users/show/81292,Laurel,2010-02-15,"Lorne, Australia",Friendly hosts who enjoy welcoming guests to the beautiful surf coast of Victoria ,within a few hours,100%,64%,f,https://a0.muscache.com/im/pictures/user/28a71468-dfed-4dbe-b4de-d6fecb89a1fb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/28a71468-dfed-4dbe-b4de-d6fecb89a1fb.jpg?aki_policy=profile_x_medium,,3,5,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Surf Coast,,-38.46329,144.09163,Entire home,Entire home/apt,8,3.5,3.5 baths,4,5,"[""Private patio or balcony"", ""Outdoor dining area"", ""Outdoor furniture"", ""Dedicated workspace"", ""Private entrance"", ""HDTV"", ""Bed linens"", ""Washer"", ""Dryer"", ""Shampoo"", ""Oven"", ""Free street parking"", ""High chair"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Backyard"", ""Self check-in"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Sea view"", ""Dishwasher"", ""Beach access"", ""Hot water"", ""Children\u2019s books and toys"", ""Lockbox"", ""Smoke alarm"", ""Waterfront"", ""Stove"", ""Essentials"", ""Bathtub"", ""Kitchen"", ""Coffee maker"", ""Pets allowed"", ""Indoor fireplace: wood-burning"", ""Heating"", ""AC - split type ductless system"", ""Crib"", ""Refrigerator""]",$814.00,2,31,2,3,31,31,2.1,31.0,,t,30,57,79,321,2025-09-28,53,2,0,79,0,12,9768,2014-11-11,2025-04-21,4.91,4.96,4.92,4.94,4.98,4.94,4.63,,f,3,2,1,0,0.40
27561,https://www.airbnb.com/rooms/27561,20250928035044,2025-09-28,city scrape,Executive residence peaceful locale,A spacious retreat in a perfect location to relax or be active. Take a therapeutic spa and sauna in the wellness room overlooking the water garden. A great place for surfing and beach activities. Ideal proximity to walking trails and golf.  Dual zoned living that can comfortably accommodate different parts of a group or family. Well appointed amenities for indoor and outdoor dining and catering facilities. Discounts available for International surf competitors and for long term winter bookings.,The area is generally quiet but seasonal tourists at Easter and the Christmas -New Year period can change the tone of the place.,https://a0.muscache.com/pictures/153948/809ee13e_original.jpg,119103,https://www.airbnb.com/users/show/119103,Lynn,2010-05-05,Australia,"My home is on the Great Ocean Road at Jan Juc in Victoria, Australia. My husband and I are well travelled retirees busy spending the kids inheritance!",N/A,N/A,0%,f,https://a0.muscache.com/im/users/119103/profile_pic/1365032700/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/119103/profile_pic/1365032700/original.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Surf Coast,,-38.34221,144.30398,Entire home,Entire home/apt,9,2.5,2.5 baths,4,6,"[""Fire extinguisher"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Shared beach access"", ""Outdoor dining area"", ""Outdoor furniture"", ""Dedicated workspace"", ""Dining table"", ""Free washer \u2013 In building"", ""Sound system"", ""Bed linens"", ""Hot water kettle"", ""Long term stays allowed"", ""Barbecue utensils"", ""Shower gel"", ""Clothing storage: walk-in closet"", ""Free dryer \u2013 In unit"", ""Board games"", ""Drying rack for clothing"", ""Blender"", ""Host greets you"", ""Shampoo"", ""Oven"", ""Free street parking"", ""Outdoor shower"", ""High chair"", ""Toaster"", ""Rice maker"", ""Dishes and silverware"", ""Private sauna"", ""Ocean view"", ""Free parking on premises"", ""Books and reading material"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Garden view"", ""Dishwasher"", ""Baking sheet"", ""Mini fridge"", ""Hot water"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Portable fans"", ""Stove"", ""Essentials"", ""Bathtub"", ""Kitchen"", ""Wine glasses"", ""Private hot tub"", ""Coffee maker"", ""Freezer"", ""Coffee"", ""Private backyard \u2013 Not fully fenced"", ""Heating"", ""Indoor fireplace: gas"", ""Bread maker"", ""Fire pit"", ""Ceiling fan"", ""Cleaning products"", ""BBQ grill"", ""HDTV with Chromecast, Netflix, Apple TV"", ""Refrigerator""]",$363.00,5,300,5,5,300,300,5.0,300.0,,t,27,57,87,87,2025-09-28,2,0,0,87,0,0,0,2019-04-28,2022-04-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,1,1,0,0.03
70449,https://www.airbnb.com/rooms/70449,20250928035044,2025-09-28,city scrape,Otway foothills retreat,"Modern 2 bedroom house with 2 bathrooms, kitchen, living, dining, floor to ceiling windows, indoor and outdoor fireplaces and BBQs. On 2.5 acres with olive and fruit tree orchard and plenty of native vegetation attracting bird life. Overlooking farmland and the Otway Ranges. 30min drive to Lorne.",,https://a0.muscache.com/pictures/450690/937a7e7a_original.jpg,357052,https://www.airbnb.com/users/show/357052,Craig And Tim,2011-01-22,"Victoria, Australia","",within an hour,100%,91%,f,https://a0.muscache.com/im/users/357052/profile_pic/1295675864/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/357052/profile_pic/1295675864/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,Colac Otway,,-38.32982,143.82842,Entire home,Entire home/apt,6,2.0,2 baths,2,3,"[""Private entrance"", ""Bed linens"", ""Shower gel"", ""Washer"", ""Shampoo"", ""Oven"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Backyard"", ""Self check-in"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Microwave"", ""Cooking basics"", ""Dishwasher"", ""Hot water"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Kitchen"", ""Essentials"", ""Indoor fireplace"", ""Heating"", ""Patio or balcony"", ""First aid kit"", ""AC - split type ductless system"", ""Refrigerator""]",$156.00,1,365,1,1,365,365,1.0,365.0,,t,19,45,75,320,2025-09-28,65,5,0,76,7,30,4680,2015-01-17,2025-04-24,4.85,4.83,4.94,5.0,4.94,4.83,4.67,,f,1,1,0,0,0.50
84516,https://www.airbnb.com/rooms/84516,20250928035044,2025-09-28,city scrape,Sea-Lit - luxury plus stunning ocean views,"Sea-Lit offers unique, panoramic views over the ever-changing Southern Ocean from it's 4 metre high windows, just a stone's throw away.  <br />Relax and enjoy anytime of the year: whether walking along near deserted beaches, safe swimming at the popular local Pea Soup, cooking in our well appointed kitchen or taking advantage of Port Fairy's excellent restaurants and cafes.",,https://a0.muscache.com/pictures/miso/Hosting-84516/original/d43b1eb0-ac72-4a9c-a341-9bf2c4d9eaa6.jpeg,462049,https://www.airbnb.com/users/show/462049,David,2011-03-25,"Melbourne, Australia","I was born and educated in Melbourne but have travelled, lived and worked in many different parts of the world.  We now live back home again but still have the travel bug and have enjoyed Airbnb accommodation on many trips.  We would also welcome other travellers to stay at our wonderful house overlooking the Southern Ocean at Port Fairy, 300km west of Melbourne.",within a few hours,100%,80%,t,https://a0.muscache.com/im/pictures/user/d2737dd8-f654-4a35-84b7-e2ab76243962.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2737dd8-f654-4a35-84b7-e2ab76243962.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Moyne,,-38.39149,142.22084,Entire home,Entire home/apt,8,2.5,2.5 baths,4,4,"[""Beach access \u2013 Beachfront"", ""BBQ grill: gas"", ""40 inch TV with Chromecast"", ""Fire extinguisher"", ""Private patio or balcony"", ""Outdoor dining area"", ""Outdoor furniture"", ""Dining table"", ""Fireplace guards"", ""Hot water kettle"", ""Long term stays allowed"", ""Barbecue utensils"", ""Free dryer \u2013 In unit"", ""Oven"", ""Free street parking"", ""Outdoor shower"", ""Rice maker"", ""Fisher & Paykel induction stove"", ""Dishes and silverware"", ""Self check-in"", ""Ocean view"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Wifi \u2013 26 Mbps"", ""EV charger"", ""Dishwasher"", ""Hot water"", ""Children\u2019s books and toys"", ""Lockbox"", ""Smoke alarm"", ""Essentials"", ""Bang & Olufsen speakers Bluetooth sound system"", ""Bathtub"", ""Ping pong table"", ""Kitchen"", ""Private backyard \u2013 Fully fenced"", ""Wine glasses"", ""Freezer"", ""Indoor fireplace: wood-burning"", ""Heating"", ""Beach view"", ""Toaster"", ""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""Baby safety gates"", ""Refrigerator""]",$459.00,3,730,2,6,730,730,3.1,730.0,,t,10,31,59,293,2025-09-28,170,13,0,59,22,78,35802,2014-04-18,2025-05-03,4.85,4.92,4.86,4.95,4.96,4.96,4.72,,f,1,1,0,0,1.22
195168,https://www.airbnb.com/rooms/195168,20250928035044,2025-09-28,city scrape,Historic House with Sea Views,,,https://a0.muscache.com/pictures/1259366/3d6d0543_original.jpg,899909,https://www.airbnb.com/users/show/899909,Tony,2011-07-31,"Melbourne, Australia","My wife Joanne and I have hosted Airbnb guests for over ten years now. We enjoy the interaction as we strive to meet and exceed your expectations. Our home is perfectly positioned to offer the delights of the beach and the Australian bush, all in close proximity to one of Victoria’s most popular holiday villages. Enjoy the water views, the pristine beaches, go bush walking, visit one of the many excellent local wineries and restaurants or just put your feet up.",within an hour,100%,82%,t,https://a0.muscache.com/im/pictures/user/9e8d4690-7099-4c54-88b1-1ff4642236c1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9e8d4690-7099-4c54-88b1-1ff4642236c1.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,,Surf Coast,,-38.54025,143.97139,Entire home,Entire home/apt,7,2.0,2 baths,3,5,"[""Fire extinguisher"", ""TV"", ""Dedicated workspace"", ""Washer"", ""Dryer"", ""Dishes and silverware"", ""Backyard"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Wifi"", ""Hot water"", ""Smoke alarm"", ""Kitchen"", ""Indoor fireplace"", ""Pets allowed"", ""Heating"", ""First aid kit"", ""Refrigerator""]",$600.00,2,730,1,5,730,730,2.3,730.0,,t,25,55,81,341,2025-09-28,39,6,0,81,6,36,21600,2011-12-26,2025-08-05,4.85,4.82,4.82,4.95,5.0,4.95,4.74,,f,1,1,0,0,0.23
291691,https://www.airbnb.com/rooms/291691,20250928035044,2025-09-28,previous scrape,BH Sleepout,"Original Airbnb:  its no Taj Mahal: a spare space with separate basic shower & kitchenette, including fridge and electric plug in hotplate. Humble, it is about having a simple & fun time in Barwon Heads without spending a fortune. Shops around the corner and estuary beach at the end of the road!","Mmmmm Barwon Heads is seaside, surfing, kids, adult dinners and cafes.... quirky characters, relaxed atmosphere. <br />It is nicely located to explore the Bellarine or go further west to Surf Coast and onto the Great Ocean Road. <br />Hopefully you leave feeling relaxed, fed and watered and happy!",https://a0.muscache.com/pictures/3039524/79b8a108_original.jpg,1511087,https://www.airbnb.com/users/show/1511087,Kim,2011-12-16,"Barwon Heads, Australia","Friendly and busy person who has travelled and lived overseas a little bit, and one day will get time to do more. Running an architecture practice in Barwon Heads and Point Lonsdale with a couple of Melbourne days per week. But still a little time available to potter in the surf and enjoy the abundance of friends and other relaxing things Barwon Heads has to offer. Love coffee and reap the benefits of having a good few places here including a fantastic new gelateria, and exploring Melbourne's best laneways for the same and abundant food choices. Friends are often visiting and use the house as their own home which means it get pretty social and fun around here, kids playing totem tennis, coits and twister, adults playing a bit of bocce while enjoying a refreshing evening beer or G&T ( I sound like an alcoholic!!) . Loved Spain and Mexico for their relaxed and friendly lifestyle, fresh flavoursome foods, but equally love Ireland and Scotland for their humour, music and wild landscapes, then there are those Nordic countries for such good socialist principles and refined architecture, and Jerusalem for its uniqueness.  But still to explore - Japan, India, Bhutan.... well they are my next hopes!! In the meantime welcoming travellers here instead",within a day,83%,50%,f,https://a0.muscache.com/im/users/1511087/profile_pic/1392203030/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1511087/profile_pic/1392203030/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Greater Geelong,,-38.27942,144.49073,Entire place,Entire home/apt,3,,1 bath,1,,"[""Kitchen"", ""Cooking basics"", ""Washer"", ""Wifi"", ""Pets allowed"", ""Heating"", ""Bed linens"", ""Mini fridge"", ""Hot water"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Hot water kettle"", ""Smoke alarm"", ""Essentials"", ""Free parking on premises""]",,2,90,2,2,90,90,2.0,90.0,,t,0,0,0,0,2025-09-28,93,2,0,0,13,12,,2012-03-19,2024-11-03,4.59,4.62,4.51,4.77,4.74,4.86,4.72,,f,2,2,0,0,0.56
372470,https://www.airbnb.com/rooms/372470,20250928035044,2025-09-28,city scrape,"Charleson Farm - rural escape, breathtaking views","Charleson Farm was born from our passion for the countryside and the things we hold dear - family, friends, good food and laughter. The property is set high with spectacular panoramic views of the surrounding countryside and everything needed to relax and recharge.<br /><br />Centrally located, it is only 25-40 mins from Lorne, Torquay, Anglesea, Birregurra, Geelong and the attractions of the Great Ocean Road. Three hat restaurant Brae is also close by. The house is pet friendly.","Charleson Farm is an hour and twenty minutes from Melbourne and centrally located on the Surf Coast, around 30 mins from Lorne, Torquay, Anglesea, Birregurra, Geelong, Colac and the attractions of the Great Ocean Road.<br /><br />Charleson is a working farm with amazing views of the Otway ranges, glorious countryside, and a short drive to national parks and beaches.",https://a0.muscache.com/pictures/90952043-58d3-4454-9d8b-8f47e7ecc768.jpg,1875131,https://www.airbnb.com/users/show/1875131,Charleson,2012-03-07,,"We love creating memorable experiences where guests can relax, share food, love and laughter with family and friends - returning home re-energised.",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User/original/fe7b6af6-de94-43b2-8191-598e89fd4e0f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/fe7b6af6-de94-43b2-8191-598e89fd4e0f.jpeg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Surf Coast,,-38.33816,144.02221,Entire home,Entire home/apt,14,2.5,2.5 baths,5,11,"[""Free dryer \u2013 In unit"", ""Drying rack for clothing"", ""Oven"", ""Outdoor playground"", ""Books and reading material"", ""Carbon monoxide alarm"", ""Microwave"", ""Lockbox"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Ping pong table"", ""Pool view"", ""Freezer"", ""Game console: Xbox 360"", ""Refrigerator"", ""Bed linens"", ""Barbecue utensils"", ""Coffee maker: french press, Keurig coffee machine"", ""Board games"", ""Window guards"", ""Single level home"", ""Blender"", ""Private outdoor kitchen"", ""Free street parking"", ""High chair"", ""55 inch HDTV with Disney+, Netflix"", ""Dishes and silverware"", ""Body soap"", ""Iron"", ""Baking sheet"", ""Garden view"", ""Dishwasher"", ""Private outdoor pool - heated"", ""Exterior security cameras on property"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Pets allowed"", ""EV charger - level 1"", ""Fire pit"", ""First aid kit"", ""Ceiling fan"", ""Fire extinguisher"", ""Outdoor dining area"", ""Outdoor furniture"", ""Dining table"", ""Clothing storage: closet and wardrobe"", ""Rice maker"", ""Self check-in"", ""Park view"", ""Hangers"", ""Fast wifi \u2013 166 Mbps"", ""Sun loungers"", ""Room-darkening shades"", ""Kitchen"", ""Laundromat nearby"", ""Mountain view"", ""Children\u2019s dinnerware"", ""Coffee"", ""Indoor fireplace: wood-burning"", ""BBQ grill"", ""Central air conditioning"", ""Private patio or balcony"", ""Private entrance"", ""Fireplace guards"", ""Hot water kettle"", ""Long term stays allowed"", ""Shower gel"", ""Cleaning available during stay"", ""Free driveway parking on premises \u2013 10 spaces"", ""Shampoo"", ""Extra pillows and blankets"", ""Hair dryer"", ""Cooking basics"", ""Valley view"", ""Hot water"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Nest  Bluetooth sound system"", ""Smoke alarm"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Wine glasses"", ""Children's playroom"", ""Babysitter recommendations"", ""Conditioner"", ""Central heating"", ""Toaster"", ""Cleaning products"", ""Crib""]",$676.00,2,30,1,7,1125,1125,1.7,1125.0,,t,15,35,57,317,2025-09-28,284,51,4,57,42,255,172380,2015-10-14,2025-09-21,4.95,4.92,4.84,4.97,4.98,4.9,4.81,,t,2,2,0,0,2.34
403682,https://www.airbnb.com/rooms/403682,20250928035044,2025-09-28,city scrape,"Satis Beach House, Great Ocean Road Linen provided","Satis is a cosy, quirky and comfortable beach shack with a large, private tea-treed garden.  Our house is so close to the inlet, beach, shops, lighthouse and cliff walk. No view, no spa, not a glass box but fun and games for all!  Welcome to Satis, which means 'enough' in Latin.  And it is.","Aireys Inlet is a beautiful bush hamlet by the sea.  Nature abounds from the fantastic Fairhaven surf beach to the calm inlet and numerous little bay beaches with rock pools and rugged cliffs. <br /><br />The Great Otway National Park abuts the town and a variety of walking tracks allows you to explore the rainforest in all seasons.<br /><br />Cafes, a pub and restaurants and numerous shops are low key and high quality.  The elegant White Queen, a slender lighthouse, can be seen for miles along The Great Ocean Road.<br /><br />“For whatever we lose (like a you or a me),<br />It's always our self we find in the sea.”<br /><br />e e cummings<br /><br />And check out my guidebook and extra information sheet for tips on Aireys Inlet.",https://a0.muscache.com/pictures/10021122/d0c75fb2_original.jpg,246509,https://www.airbnb.com/users/show/246509,Fiona,2010-09-27,Australia,"We live on a broad acre cropping, sheep and alpaca farm on the Wimmera plains, enjoying the space, people, environment and the ability to grow our own produce. 

Our beach house on the Great Ocean Road and our city apartment are a wonderful contrast to life on the farm. 

Satis Beach House is comfortable, quirky and just around the corner from a beautiful surf beach, estuary and cliff top walks along the coastline of south eastern Australia.  Excellent cafes, restaurants, a bookshop, galleries, surf club and pub add to the coastal mix at Aireys Inlet.

Greyfriars is an iconic mid century apartment block with a lovely central garden in St Kilda East, Melbourne.  This sweet one bedroom apartment is our city ‘pied à terre’ and we love it.

As travellers, we appreciate comfortable beds, good linen, clean spaces and many small details that make a stay into a holiday.  We hope you will find these simple luxuries in our places.

Contact Fiona for bookings for either of these spaces, or check us out here and @satisbeachhouse and on @riparide.",within an hour,100%,75%,f,https://a0.muscache.com/im/users/246509/profile_pic/1424679592/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/246509/profile_pic/1424679592/original.jpg?aki_policy=profile_x_medium,St Kilda East,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Surf Coast,,-38.465721,144.099136,Entire home,Entire home/apt,6,1.5,1.5 baths,3,4,"[""Private patio or balcony"", ""Outdoor dining area"", ""Outdoor furniture"", ""TV"", ""Hammock"", ""Private entrance"", ""Free washer \u2013 In building"", ""Sound system"", ""Bed linens"", ""Barbecue utensils"", ""Shower gel"", ""Board games"", ""Single level home"", ""Shampoo"", ""Oven"", ""Free street parking"", ""High chair"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Self check-in"", ""Coffee maker: pour-over coffee"", ""Body soap"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Baking sheet"", ""Garden view"", ""Dishwasher"", ""Electric stove"", ""Beach access"", ""Hot water"", ""Children\u2019s books and toys"", ""Lockbox"", ""Smoke alarm"", ""Portable fans"", ""Essentials"", ""Kitchen"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""Heating"", ""Conditioner"", ""First aid kit"", ""AC - split type ductless system"", ""BBQ grill"", ""Refrigerator""]",$393.00,2,110,2,2,110,110,2.0,110.0,,t,0,0,0,54,2025-09-28,187,0,0,0,2,0,0,2012-01-04,2024-04-02,4.76,4.8,4.74,4.9,4.94,4.85,4.64,,f,1,1,0,0,1.12
479888,https://www.airbnb.com/rooms/479888,20250928035044,2025-09-28,city scrape,Riverbank Cottage Allenvale,"Set high on the banks of the Henderson creek, Riverbank is perfect for your large family, couples, or friends getaway.  <br /><br />Spend some time on the expansive front deck in an Adirondack chair, soaking up the serenity of valley surrounds. <br /><br />Babbling creek, birds, and the sound of nothing!",,https://a0.muscache.com/pictures/65616385/9f3cb802_original.jpg,2377195,https://www.airbnb.com/users/show/2377195,Charles,2012-05-15,"Lorne, Australia","",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/4a2c536a-38d1-49cc-b98c-2bff60a91929.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4a2c536a-38d1-49cc-b98c-2bff60a91929.jpg?aki_policy=profile_x_medium,,7,10,"['email', 'phone']",t,t,,Surf Coast,,-38.54855,143.95517,Entire home,Entire home/apt,6,1.0,1 bath,3,4,"[""Private patio or balcony"", ""TV"", ""Private entrance"", ""Bed linens"", ""Washer"", ""Dryer"", ""Oven"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Self check-in"", ""Private backyard"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Hot water"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Kitchen"", ""Essentials"", ""Air conditioning"", ""Indoor fireplace"", ""Heating"", ""Refrigerator""]",$600.00,2,10,2,2,10,10,2.0,10.0,,t,17,47,77,241,2025-09-28,76,1,0,78,0,6,3600,2016-02-15,2025-04-21,4.68,4.8,4.64,4.92,4.83,4.88,4.51,,t,6,6,0,0,0.65
488344,https://www.airbnb.com/rooms/488344,20250928035044,2025-09-28,city scrape,"Seahaven,  a room with a view","Self contained Bed and Breakfast with beautiful views of the lighthouse,  kangaroos, ocean and river",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDg4MzQ0/original/cc19db44-cb40-49e2-b48a-4d2cd1e43b62.jpeg,2416415,https://www.airbnb.com/users/show/2416415,Lise,2012-05-20,,"I love spending time with my family and good friends. We love traveling to Indonesia each year to visit our favorite spots, Bingin and Nusa Lembongan. The boys love to surf and I am lucky enough to tag along.   I love the Indonesian culture and the locals are adorable
My happy place is to be by the sea and the outdoors.
My passions are helping Bali Street Dogs, I love Bali Street Dogs and Bawa (Bali Animal Welfare Association)..

",within a day,50%,60%,f,https://a0.muscache.com/im/pictures/user/813e6a99-f8a1-408f-99fe-16f827d1ad35.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/813e6a99-f8a1-408f-99fe-16f827d1ad35.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Surf Coast,,-38.46413,144.09497,Entire guest suite,Entire home/apt,2,1.0,1 bath,1,2,"[""River view"", ""Fire extinguisher"", ""Private patio or balcony"", ""Lake access"", ""Outdoor dining area"", ""Outdoor furniture"", ""TV"", ""Private entrance"", ""Dining table"", ""Bed linens"", ""Hot water kettle"", ""Long term stays allowed"", ""Barbecue utensils"", ""Shower gel"", ""Clothing storage: closet"", ""Coffee maker: Nespresso"", ""Drying rack for clothing"", ""Shampoo"", ""Free street parking"", ""High chair"", ""Canal view"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Ocean view"", ""Body soap"", ""Free parking on premises"", ""Books and reading material"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Garden view"", ""Sea view"", ""Baking sheet"", ""Breakfast"", ""Mini fridge"", ""Beach access"", ""Hot water"", ""Sun loungers"", ""Smoke alarm"", ""Waterfront"", ""Portable fans"", ""Luggage dropoff allowed"", ""Essentials"", ""Bathtub"", ""Kitchen"", ""Air conditioning"", ""Wine glasses"", ""Private backyard \u2013 Not fully fenced"", ""Freezer"", ""Coffee"", ""Bay view"", ""Heating"", ""Conditioner"", ""Beach view"", ""Toaster"", ""Cleaning products"", ""BBQ grill"", ""Refrigerator""]",$150.00,2,1125,1,2,1125,1125,1.3,1125.0,,t,1,8,13,227,2025-09-28,349,35,2,13,44,210,31500,2016-05-30,2025-09-13,4.95,4.97,4.91,4.99,4.96,4.97,4.95,,f,2,2,0,0,3.07
