id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
36690,https://www.airbnb.com/rooms/36690,20250928035335,2025-09-28,city scrape,Mo's Cozy Cabana,"Looking for a laid-back, authentic Belizean stay? Check out the Cozy Cabana: a funky and comfortable studio in a quiet neighborhood, just a short walk from the lively village center and the famous Split.","The cabana is just a moments walk to 'The Split', where the island is split in two and which is the most popular spot for swimming, snorkeling or to have a drink at the famous bar 'the Lazy Lizard'. The main street -Front Street- is right around the corner. Here you'll find several restaurants, supermarkets, souvenir shops and food- and fruit stands. The many local people you meet are always in for a chat. The part of the island where the cabana is located is only 100 yards wide so the sea & beach are always nearby.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzY2OTA%3D/original/213b8f19-2d17-4fbb-8791-95b2a048ccfa.jpeg,157752,https://www.airbnb.com/users/show/157752,Monique,2010-07-03,Belize,Originally from the Netherlands and now living on the small tropical island of Caye Caulker in Belize. I enjoy the 'go slow' mentality of island life and live by the day.  I'm a real dog lover and work as a volunteer at the Caye Caulker Humane Society.,within an hour,100%,89%,t,https://a0.muscache.com/im/users/157752/profile_pic/1278258610/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/157752/profile_pic/1278258610/original.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone']",t,t,"Caye Caulker, Belize",Belize Islands,Belize,17.74832,-88.02474,Tiny home,Entire home/apt,2,1.0,1 bath,0,1,"[""Books and reading material"", ""Laundromat nearby"", ""Cooking basics"", ""Private entrance"", ""Single level home"", ""Board games"", ""Portable fans"", ""Wine glasses"", ""Essentials"", ""Air conditioning"", ""Dishes and silverware"", ""Toaster"", ""Host greets you"", ""Conditioner"", ""Backyard"", ""Outdoor furniture"", ""Kayak"", ""Gas stove"", ""Body soap"", ""Mosquito net"", ""Kitchen"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Freezer"", ""Wifi"", ""Coffee maker: drip coffee maker"", ""Hangers"", ""Clothing storage: closet"", ""Cleaning products"", ""Hot water kettle"", ""Room-darkening shades"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Oven"", ""Coffee"", ""Long term stays allowed"", ""Refrigerator"", ""Smoke alarm"", ""Bed linens"", ""Beach essentials"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Dining table"", ""Hammock"", ""Shower gel"", ""Shampoo""]",$91.00,3,60,3,5,60,60,3.1,60.0,,t,9,18,33,207,2025-09-28,475,33,1,33,34,198,18018,2010-08-13,2025-09-05,4.83,4.83,4.8,4.96,4.94,4.92,4.88,,f,4,4,0,0,2.58
120115,https://www.airbnb.com/rooms/120115,20250928035335,2025-09-28,city scrape,"Seaside Villas 4 2nd Flr - Pool, Beach, Jacuzzi",,"Right on the beach, this building is in a prime location just one block south of the Caribbean Sprinter Water taxi and another half a block from the San Pedro Water Taxi. The shops, bars and restaurants are all close by on Front Street just to the west. The entrance for the Building is on the side - Adventurer Street. Easy to find on a map app.",https://a0.muscache.com/pictures/miso/Hosting-120115/original/51d116b3-daf1-4b4f-8760-6ef1f4d8b8ca.jpeg,604999,https://www.airbnb.com/users/show/604999,Bobbi,2011-05-19,"Belize City, Belize","",within an hour,100%,100%,,https://a0.muscache.com/im/users/604999/profile_pic/1305841136/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/604999/profile_pic/1305841136/original.jpg?aki_policy=profile_x_medium,,21,22,"['email', 'phone']",t,t,"Caye Caulker Village , Belize",Belize Islands,Belize,17.74166,-88.02395,Entire condo,Entire home/apt,6,2.0,2 baths,2,2,"[""Free parking on premises"", ""Stove"", ""Hair dryer"", ""Cooking basics"", ""BBQ grill"", ""Essentials"", ""AC - split type ductless system"", ""Dishes and silverware"", ""Beach access \u2013 Beachfront"", ""Patio or balcony"", ""TV with standard cable"", ""Shared pool"", ""Coffee maker"", ""Iron"", ""Outdoor furniture"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Shared hot tub"", ""Wifi"", ""Hangers"", ""Free street parking"", ""Hot water"", ""Fire extinguisher"", ""Oven"", ""Refrigerator"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Microwave"", ""Shampoo""]",$604.00,2,730,2,2,730,730,2.0,730.0,,t,19,41,57,184,2025-09-28,78,13,0,57,12,78,47112,2017-04-18,2025-08-13,4.82,4.92,4.88,4.92,4.91,4.99,4.71,,t,17,17,0,0,0.76
120116,https://www.airbnb.com/rooms/120116,20250928035335,2025-09-28,city scrape,Valarosa - Sweet cottage,Charming one bedroom home set in the trees on lovely quiet lot 500 feet from the sea.,"Valarosa is on Avenida Chechem in a popular residential area which is generally quiet, though not immune to the sounds of village life. You might hear distant music, or animal noises. Nearby is the Suggestion Gourmet french bakery. In the morning you may hear a man on a bicycle cart tooting his horn - he sells a mound of hot fresh corn tortilla for BZ$2.50. Two blocks away is the small Caye Caulker airstrip which takes light aircraft.",https://a0.muscache.com/pictures/323c28c8-c4e2-4d62-84b4-2d0db4b1ee28.jpg,604999,https://www.airbnb.com/users/show/604999,Bobbi,2011-05-19,"Belize City, Belize","",within an hour,100%,100%,,https://a0.muscache.com/im/users/604999/profile_pic/1305841136/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/604999/profile_pic/1305841136/original.jpg?aki_policy=profile_x_medium,,21,22,"['email', 'phone']",t,t,"Caye Caulker Village , Belize",Belize Islands,Belize,17.738116,-88.028534,Entire home,Entire home/apt,2,1.0,1 bath,1,1,"[""Dishes and silverware"", ""Free parking on premises"", ""Fire extinguisher"", ""Patio or balcony"", ""TV with standard cable"", ""Long term stays allowed"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Air conditioning""]",$121.00,2,28,2,2,1125,1125,2.0,1125.0,,t,30,60,90,337,2025-09-28,89,4,0,95,15,24,2904,2016-02-24,2025-04-30,4.61,4.73,4.4,4.87,4.9,4.61,4.57,,t,17,17,0,0,0.76
152512,https://www.airbnb.com/rooms/152512,20250928035335,2025-09-28,city scrape,"Toucan-kit, ac, wifi, bike, tropical gardens, pool","Casa Placencia's Toucan, w/12 ft ceilings & spacious living/dining room overlooking dipping pool surrounded by lush tropical gardens; my personal fav, very romantic. Paintings, including Walter Castillo & Rojas, custom tiled bathroom w/soaker tub. Equipped kitchen provides full size stove with oven, refrigerator, coffeemaker, toaster, blender. quality pots & pans, dishes & more for comfortable living. Queen bed, quiet air con, flat screen SMART tv, ceiling fans, FAST optic wifi & more........","LOVE this area of Placencia; quiet, day & night, secure, short walk to beautiful beach as well as local shops & restaurants.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTUyNTEy/original/a0cfacb1-90c3-41a6-b218-c015d71d809d.jpeg,733857,https://www.airbnb.com/users/show/733857,Jacqueline,2011-06-23,"Placencia, Belize","Expat from Pt Reyes, CA, living in Placencia for 40+ yrs, I designed & built my property with custom mosaic tilework & lush tropical gardens w/bananas, coconuts, mangos & star fruits.....long-time Buddhist, I LOVE all living beings, yoga, meditation & live music-LOVE PUNTA, working at my farm, cooking & baking, swimming & hosting like minded people who appreciate life....I so enjoy welcoming guests to Placencia  & sharing my love of Belize.",N/A,N/A,95%,f,https://a0.muscache.com/im/pictures/user/User/original/e654174b-e0d8-4ea8-aaed-83c13c85e1e1.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/e654174b-e0d8-4ea8-aaed-83c13c85e1e1.jpeg?aki_policy=profile_x_medium,,5,10,"['email', 'phone']",t,t,"Placencia, Stann Creek, Belize",Stann Creek Mainland,Stann Creek,16.52693,-88.36864,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,2,1,"[""Laundromat nearby"", ""Garden view"", ""Cooking basics"", ""Private entrance"", ""BBQ grill"", ""Single level home"", ""Shared backyard \u2013 Fully fenced"", ""Wine glasses"", ""Essentials"", ""AC - split type ductless system"", ""Dishes and silverware"", ""Bikes"", ""Coffee maker"", ""Iron"", ""Whirlpool stainless steel gas stove"", ""Toaster"", ""Outdoor furniture"", ""Dedicated workspace"", ""Ceiling fan"", ""Free washer \u2013 In building"", ""Barbecue utensils"", ""Resort access"", ""Kitchen"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Wifi"", ""Hangers"", ""Cleaning products"", ""Room-darkening shades"", ""Free street parking"", ""Shared outdoor pool - available all year, open specific hours"", ""Hot water"", ""Paid dryer \u2013 In building"", ""Fire extinguisher"", ""Oven"", ""Beach access"", ""Pool view"", ""Long term stays allowed"", ""Refrigerator"", ""Smoke alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Dining table"", ""Microwave"", ""42 inch HDTV with Chromecast, Disney+, Fire TV, Hulu, Netflix""]",$202.00,7,365,7,7,1125,1125,7.0,1125.0,,t,30,34,59,64,2025-09-28,73,0,0,64,2,0,0,2011-11-28,2024-03-25,4.86,4.89,4.97,4.92,4.95,4.81,4.86,,t,5,4,0,0,0.43
152922,https://www.airbnb.com/rooms/152922,20250928035335,2025-09-28,city scrape,rent a private room in a house,Rent an air-conditioned room with one queen size bed and private bathroom. Access to wifi.,"Quiet neighbourhood, close to shopping centre, restaurants and market.",https://a0.muscache.com/pictures/5e734ca2-3536-40cf-b40d-537b0f4411c1.jpg,735525,https://www.airbnb.com/users/show/735525,Jennifer,2011-06-23,"Belmopan, Belize",My travel destination has been European countries so far. I enjoy shopping for the fashion and perfume.,a few days or more,0%,22%,f,https://a0.muscache.com/im/pictures/user/c298a57d-f77b-487e-af91-e558bf5a081b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c298a57d-f77b-487e-af91-e558bf5a081b.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Belmopan, Cayo, Belize",Cayo,Cayo,17.25428,-88.76771,Private room in home,Private room,1,1.0,1 private bath,1,1,"[""Dishes and silverware"", ""Free parking on premises"", ""Fire extinguisher"", ""TV with standard cable"", ""Lock on bedroom door"", ""Refrigerator"", ""Cooking basics"", ""Iron"", ""Wifi"", ""Host greets you"", ""Free street parking"", ""Essentials"", ""Hot water"", ""Air conditioning""]",$53.00,1,730,1,1,730,730,1.0,730.0,,t,29,58,88,363,2025-09-28,13,1,0,93,1,6,318,2016-03-30,2025-01-14,4.62,4.92,4.77,4.62,4.69,4.62,4.77,,f,1,0,1,0,0.11
171294,https://www.airbnb.com/rooms/171294,20250928035335,2025-09-28,previous scrape,King Deluxe,This is an air conditioning room that has a private bathroom.,5 minutes walk to center of town<br /><br />Branch Mouth where the two rivers meet 15 minute walk<br /><br />You can also rent golf carts by the hour to drive around the town.,https://a0.muscache.com/pictures/miso/Hosting-171294/original/9a796743-386b-40fd-a2dc-ec2cc2459ba4.jpeg,817242,https://www.airbnb.com/users/show/817242,Michael,2011-07-13,"San Ignacio, Belize","I'm fully vaccinated 
I love to travel I've been to north south and every country in central America I've done a bit of Europe and a spec of the middle East

I'm a gold standard hotel owner in San Ignacio and started a  new business similar to uber 

I'm a easy flexible person and looking forward to hosting you",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/7b20a833-9c69-482c-b7b0-169c56bd1471.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7b20a833-9c69-482c-b7b0-169c56bd1471.jpg?aki_policy=profile_x_medium,,7,8,"['email', 'phone', 'work_email']",t,t,"San Ignacio, Cayo, Belize",Cayo,Cayo,17.16427,-89.06909,Private room in resort,Private room,2,,1 shared bath,1,,"[""Free parking on premises"", ""Safe"", ""Hair dryer"", ""Private entrance"", ""Lake access"", ""Essentials"", ""Air conditioning"", ""Sun loungers"", ""Paid dryer"", ""Iron"", ""Outdoor furniture"", ""Paid washer"", ""Dedicated workspace"", ""Ceiling fan"", ""Wifi"", ""Hangers"", ""Pets allowed"", ""HDTV with Netflix"", ""Room-darkening shades"", ""Hot water"", ""First aid kit"", ""Fire extinguisher"", ""Mini fridge"", ""Long term stays allowed"", ""Pool"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Hammock"", ""Shampoo""]",,1,730,1,1,1125,1125,1.0,1125.0,,t,29,56,83,302,2025-09-28,44,0,0,88,1,0,,2014-03-16,2024-02-12,4.44,4.42,4.59,4.52,4.48,4.5,4.52,,t,7,3,4,0,0.31
171301,https://www.airbnb.com/rooms/171301,20250928035335,2025-09-28,city scrape,Cabana in a Rainforest Setting,Wooden cabin built by the Mennonites and renovated in 2023 with spacious bathroom tucked in a rainforest setting. Stay includes access to Butterfly Farm at property and nature trails,We have 2 Restaurants nearby Guava Limb and Hodes also we have a community park on the corner,https://a0.muscache.com/pictures/cbeb89ed-437e-4546-b36f-be37e24d3e4c.jpg,817242,https://www.airbnb.com/users/show/817242,Michael,2011-07-13,"San Ignacio, Belize","I'm fully vaccinated 
I love to travel I've been to north south and every country in central America I've done a bit of Europe and a spec of the middle East

I'm a gold standard hotel owner in San Ignacio and started a  new business similar to uber 

I'm a easy flexible person and looking forward to hosting you",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/7b20a833-9c69-482c-b7b0-169c56bd1471.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7b20a833-9c69-482c-b7b0-169c56bd1471.jpg?aki_policy=profile_x_medium,,7,8,"['email', 'phone', 'work_email']",t,t,"San Ignacio, Cayo, Belize",Cayo,Cayo,17.16435,-89.06896,Hut,Entire home/apt,4,1.0,1 bath,1,2,"[""Clothing storage"", ""Free parking on premises"", ""Safe"", ""Hair dryer"", ""Cooking basics"", ""Lake access"", ""Exterior security cameras on property"", ""Essentials"", ""Air conditioning"", ""TV with standard cable"", ""Shared pool"", ""Iron"", ""Host greets you"", ""Dedicated workspace"", ""Waterfront"", ""Washer"", ""Extra pillows and blankets"", ""Gym"", ""Wifi"", ""Hangers"", ""Dryer"", ""Pets allowed"", ""Room-darkening shades"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Fire extinguisher"", ""Long term stays allowed"", ""Smoke alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Shampoo""]",$292.00,1,730,1,1,1125,1125,1.0,1125.0,,t,30,51,70,246,2025-09-28,117,2,0,73,10,12,3504,2014-03-05,2024-12-19,4.56,4.48,4.54,4.81,4.69,4.76,4.6,,t,7,3,4,0,0.83
254291,https://www.airbnb.com/rooms/254291,20250928035335,2025-09-28,city scrape,Finca Placencia oceanfront Private Beach House,"Finca is a relaxing haven on 200 feet of natural beachfront only one mile north of placencia village. Listen to the waves as you relax in the hammock or beach chairs. We are one of the only places with a real beach and not a sea wall. Next door to turtle inn.  A magical spot of natural beauty just outside of a cool,  Belizean village.","Location location location. Walk next door to Francis Ford Coppola's turtle inn where they have a lovely romantic restaurant with wood fired pizza. Just north of us are a few excellent restaurants as well. Another great Italian restaurant in Los porticos villas and further down the beach, mariposa serving 3 meals a day",https://a0.muscache.com/pictures/30896974/19646c3b_original.jpg,1512929,https://www.airbnb.com/users/show/1512929,Andrea,2011-12-17,"Placencia, Belize","Designer/owner of salaam clothing. Love to travel and meet people.  my favorite place I have traveled to is corsica. I have a compound in belize, my home away from home. love to eat, ski, swim, nature, dance",within a day,100%,91%,f,https://a0.muscache.com/im/users/1512929/profile_pic/1324151348/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1512929/profile_pic/1324151348/original.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Placencia, Stann Creek, Belize",Stann Creek Mainland,Stann Creek,16.53274,-88.35957,Entire home,Entire home/apt,4,1.0,1 bath,1,3,"[""Free parking on premises"", ""Stove"", ""Laundromat nearby"", ""Garden view"", ""Hair dryer"", ""Safe"", ""Blender"", ""Cooking basics"", ""Private entrance"", ""Clothing storage: wardrobe and dresser"", ""Resort access"", ""BBQ grill"", ""Single level home"", ""Courtyard view"", ""Portable fans"", ""Wine glasses"", ""Essentials"", ""Dishes and silverware"", ""Babysitter recommendations"", ""Fire pit"", ""Bikes"", ""Iron"", ""Beach view"", ""Toaster"", ""Host greets you"", ""TV"", ""Outdoor furniture"", ""Paid washer"", ""Dedicated workspace"", ""Smoking allowed"", ""Ceiling fan"", ""Body soap"", ""Sea view"", ""Mosquito net"", ""Kitchen"", ""Ocean view"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Waterfront"", ""Freezer"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Outdoor dining area"", ""Wifi"", ""Pets allowed"", ""Cleaning products"", ""Hot water kettle"", ""Room-darkening shades"", ""Free street parking"", ""Hot water"", ""Hammock"", ""First aid kit"", ""Fire extinguisher"", ""Oven"", ""Coffee"", ""Beach access"", ""Long term stays allowed"", ""Refrigerator"", ""Private backyard \u2013 Not fully fenced"", ""Bathtub"", ""Smoke alarm"", ""Shared patio or balcony"", ""Bed linens"", ""Ethernet connection"", ""Beach essentials"", ""Luggage dropoff allowed"", ""Dining table"", ""Microwave"", ""Shampoo""]",$218.00,1,365,1,1,365,365,1.0,365.0,,t,27,41,71,338,2025-09-28,154,7,0,76,11,42,9156,2012-06-20,2025-04-23,4.63,4.66,4.51,4.82,4.75,4.86,4.64,,f,4,4,0,0,0.95
261882,https://www.airbnb.com/rooms/261882,20250928035335,2025-09-28,city scrape,Finca Placencia Beachfront treetop cabana,A magical beachfront spot to Catch the breeze and listen to the sounds of the waves in this private belizean cabana 60 feet from the sea. On a natural white sand beach. Bathroom and kitchen with hot water. Best location in placencia. Read the reviews,Finca is located next to Turtle Inn on 200 feet of beachfront.<br /> I chose to settle in Placencia because I fell in love with the village which has a tightly knit community and I did not feel like I stuck out as a gringo there. FInca is just a quick ride out of town so you have some privacy and still have easy access to the village.,https://a0.muscache.com/pictures/2690563/f44726c8_original.jpg,1512929,https://www.airbnb.com/users/show/1512929,Andrea,2011-12-17,"Placencia, Belize","Designer/owner of salaam clothing. Love to travel and meet people.  my favorite place I have traveled to is corsica. I have a compound in belize, my home away from home. love to eat, ski, swim, nature, dance",within a day,100%,91%,f,https://a0.muscache.com/im/users/1512929/profile_pic/1324151348/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1512929/profile_pic/1324151348/original.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Placencia, Stann Creek, Belize",Stann Creek Mainland,Stann Creek,16.53271,-88.35972,Entire bungalow,Entire home/apt,3,1.0,1 bath,0,2,"[""Clothing storage"", ""Stove"", ""Laundromat nearby"", ""Garden view"", ""Hair dryer"", ""Safe"", ""Blender"", ""Cooking basics"", ""Private entrance"", ""Shared backyard \u2013 Not fully fenced"", ""BBQ grill"", ""Exterior security cameras on property"", ""Portable fans"", ""Wine glasses"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Dishes and silverware"", ""Bikes"", ""Coffee maker: drip coffee maker, french press"", ""Toaster"", ""Host greets you"", ""Outdoor furniture"", ""Housekeeping - available at extra cost"", ""Smoking allowed"", ""Ceiling fan"", ""Body soap"", ""Barbecue utensils"", ""Kitchen"", ""Waterfront"", ""Resort access"", ""Extra pillows and blankets"", ""Outdoor dining area"", ""Wifi"", ""Hangers"", ""Pets allowed"", ""Hot water kettle"", ""Hot water"", ""Hammock"", ""First aid kit"", ""Fire extinguisher"", ""Mini fridge"", ""Coffee"", ""Long term stays allowed"", ""Smoke alarm"", ""Free driveway parking on premises"", ""Bed linens"", ""Beach essentials"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Dining table"", ""Microwave"", ""Shower gel"", ""Shampoo""]",$192.00,1,365,1,1,365,365,1.0,365.0,,t,27,57,87,362,2025-09-28,191,3,0,92,5,18,3456,2012-02-28,2025-03-28,4.79,4.82,4.77,4.84,4.81,4.86,4.8,,f,4,4,0,0,1.15
308361,https://www.airbnb.com/rooms/308361,20250928035335,2025-09-28,city scrape,Villa San Juan,,,https://a0.muscache.com/pictures/3263574/ed33067f_original.jpg,1586187,https://www.airbnb.com/users/show/1586187,Jorge Omar,2012-01-09,,"Ellen, my wife, and I are your hosts. I am a retired banker with lifetime experience in the service industry throughout the Caribbean and Ellen is an amazing Mom and Home Manager. Our lives have been filled with change and with making new friends and so we take great pleasure in welcoming you to our home.",N/A,N/A,100%,f,https://a0.muscache.com/im/users/1586187/profile_pic/1326147272/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1586187/profile_pic/1326147272/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Cayo,Cayo,17.25719,-88.77812,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1,1,"[""TV with standard cable"", ""Washer"", ""Pool"", ""Wifi"", ""Breakfast"", ""Dryer"", ""Hot water"", ""Air conditioning""]",$232.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,29,59,89,364,2025-09-28,15,2,0,94,3,12,2784,2014-11-30,2025-01-22,4.93,5.0,4.93,4.93,5.0,4.71,4.86,,f,1,0,1,0,0.11
