id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3781,https://www.airbnb.com/rooms/3781,20250923202714,2025-09-23,city scrape,HARBORSIDE-Walk to subway,"Fully separate apartment in a two apartment building. Space is perfect for an individual or a couple. There is a full bath, bedroom with queen bed, small sitting area with TV and a fully equipped kitchen with dining area. Walk or bus to subway.","Mostly quiet ( no loud music, no crowed sidewalks)  area with residential 3 story buildings, some 4 and 5 story newer buildings. Though not in an ""entertainment"" area there are local food shops and supermarket with a mix of restaurants.  Area is in transition--East Boston has a great waterfront with gentrification evident everywhere!",https://a0.muscache.com/pictures/24670/b2de0442_original.jpg,4804,https://www.airbnb.com/users/show/4804,Frank,2008-12-03,"Massachusetts, United States","My wife and I and grown children frequently occupy the spaces that we rent and as such try to make the spaces pleasant and appealing to ourselves as well as guests.   We have been subletting for over 15 years and consider ourselves helpful and organized hosts who provide clean, attractive and comfortable apartments",within a day,100%,19%,t,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_x_medium,East Boston,3,6,"['email', 'phone']",t,f,Neighborhood highlights,East Boston,,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Patio or balcony"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Washer"", ""Extra pillows and blankets"", ""Bed linens"", ""Oven"", ""Dryer"", ""Kitchen"", ""Microwave"", ""Stove"", ""Free parking on premises"", ""TV with standard cable"", ""Coffee maker"", ""Central air conditioning"", ""Dishes and silverware"", ""Free street parking"", ""Hot water""]",$125.00,29,1125,29,29,1125,1125,29.0,1125.0,,t,3,21,51,326,2025-09-23,26,0,0,61,1,0,0,2015-07-10,2024-08-09,4.96,5.0,4.96,5.0,4.96,4.85,4.88,,f,1,1,0,0,0.21
5506,https://www.airbnb.com/rooms/5506,20250923202714,2025-09-24,city scrape,** Fort Hill Inn Private! Minutes to center!**,"**THE BEST Value in BOSTON!!*** PRIVATE GUEST ROOM WITH PRIVATE BATH.   Easy Access to the city.  5 minute walk to the subway,  5 minute ride to the center of the attractions.   One of the many options available at the ""Fort Hill Inn,  Boston""!","Peaceful, Architecturally interesting, historic, diverse, and quiet residential. <br /><br />Culturally,  ethnically, and economically diverse.",https://a0.muscache.com/pictures/miso/Hosting-5506/original/5c9789c7-abff-49e4-b0de-1ba8b77a9597.jpeg,8229,https://www.airbnb.com/users/show/8229,Terry,2009-02-19,"Boston, MA","Relaxed,  Easy going, Accommodating. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_x_medium,Roxbury,12,15,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1.0,1 bath,1,1,"[""Heating"", ""Smoke alarm"", ""Private entrance"", ""Iron"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Shampoo"", ""Keypad"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Extra pillows and blankets"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Bed linens"", ""Dryer"", ""Microwave"", ""Bathtub"", ""Self check-in"", ""Fire extinguisher"", ""TV with standard cable"", ""Coffee maker"", ""Dishes and silverware"", ""Free street parking"", ""Hot water""]",$129.00,3,90,1,3,1125,1125,3.0,1125.0,,t,3,28,58,67,2025-09-24,138,9,0,67,10,54,6966,2009-03-21,2025-07-28,4.82,4.89,4.91,4.95,4.9,4.58,4.77,STR-490093,f,11,11,0,0,0.69
6695,https://www.airbnb.com/rooms/6695,20250923202714,2025-09-24,city scrape,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex","Comfortable,  Fully Equipped private apartment on 2 levels.  Sleeps up to 4.  Sleeper sofa in living room,  Spiral Steps inside unit to bedroom.","Peaceful, Architecturally interesting, historic, diverse, and quiet. Racially, culturally,  ethnic, and economically diverse.",https://a0.muscache.com/pictures/38ac4797-e7a4-48d8-84a5-e1f724f4282b.jpg,8229,https://www.airbnb.com/users/show/8229,Terry,2009-02-19,"Boston, MA","Relaxed,  Easy going, Accommodating. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_x_medium,Roxbury,12,15,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32802,-71.09387,Entire condo,Entire home/apt,4,1.0,1 bath,0,2,"[""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Shampoo"", ""Keypad"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Oven"", ""Dryer"", ""Kitchen"", ""Microwave"", ""Stove"", ""Self check-in"", ""Fire extinguisher"", ""TV with standard cable"", ""Coffee maker"", ""Dishes and silverware"", ""Free street parking"", ""Hot water""]",$168.00,3,730,3,3,730,730,3.0,730.0,,t,2,17,47,56,2025-09-24,141,8,0,56,8,48,8064,2009-08-06,2025-07-29,4.81,4.83,4.86,4.9,4.94,4.54,4.72,STR-491702,f,11,11,0,0,0.72
8789,https://www.airbnb.com/rooms/8789,20250923202714,2025-09-24,city scrape,Curved Glass Studio/1bd facing Park,"This unit is for sale. There will need to be occasional showings. This unit is available for a few months at the most. Bright, 1 bed with curved glass windows facing the State House! High ceilings, updated kitchen, elevator building, doorman, laundry on each floor and common roofdeck with amazing view.  Close to everything!","Beacon Hill is a historic neighborhood filled with tradition, brownstones, cobblestone streets, the Boston Common park, the State House, as well as shopping, restaurants and public transportation.",https://a0.muscache.com/pictures/miso/Hosting-8789/original/79276a31-76b8-4a0a-86d3-c2ffef3aeca2.jpeg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a few hours,100%,37%,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,8,32,"['email', 'phone']",t,t,Neighborhood highlights,Beacon Hill,,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,2,"[""Heating"", ""Smoke alarm"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Patio or balcony"", ""Dining table"", ""Hangers"", ""Wine glasses"", ""Cleaning products"", ""Electric stove"", ""Wifi"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Single level home"", ""Air conditioning"", ""Paid parking garage off premises"", ""Bed linens"", ""Paid dryer \u2013 In building"", ""Kitchen"", ""Microwave"", ""Bathtub"", ""Fire extinguisher"", ""Clothing storage: closet and dresser"", ""TV with standard cable"", ""Coffee maker"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Hot water""]",$140.00,91,365,91,91,365,365,91.0,365.0,,t,0,0,3,277,2025-09-24,29,0,0,12,1,0,0,2014-08-12,2024-05-15,4.69,4.69,4.55,4.93,4.97,4.97,4.59,,f,4,4,0,0,0.21
10811,https://www.airbnb.com/rooms/10811,20250923202714,2025-09-24,city scrape,Bostons Best Rentals -Studio Prestigious Back Bay,"Bostons Best Rentals offers a Stunning Back Bay furnished studio apartment in the Prestigious Back Bay neighborhood.   Classic brick brownstone on a quiet street. Elegant large studio apartment with bow window overlooking tree lined Marlborough St. Front facing studio apt. Queen murphy be, includes all utilities, A/C ,Wi-Fi, TV, bedding , towels, utensils, table and chairs works space.  <br /><br />Short walk to Newbury St, Fenway Park, ""T"" Station (subway) & hundreds of restaurants, cafes and shops.","A one-square mile neighborhood that is arguably one of the most prestigious neighborhoods in Boston, Back Bay teems with history and affluence. Copley Square is the heart of Back Bay, featuring landmarks such as the Boston Public Library and the John Hancock Tower. Shoppers and tourists also flock to the Prudential Center. Commonwealth Avenue is the pride of the neighborhood - a beautiful, tree-lined boulevard with grand mansions and other stately homes. This neighborhood, along with Beacon Hill, is the place to live for the quintessential Boston experience and is popular with young professionals and empty nesters who fled the suburbs for city living after their kids left home. The housing stock is a mixture of Victorian brownstones and larger buildings nestled between high-rises offering luxurious living in snug quarters.",https://a0.muscache.com/pictures/45735/27548f71_original.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,"",within a few hours,94%,59%,f,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,21,29,"['email', 'phone']",t,t,Neighborhood highlights,Back Bay,,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1.0,1 bath,0,1,"[""Heating"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Essentials"", ""Pets allowed"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Microwave"", ""Indoor fireplace"", ""Fire extinguisher"", ""TV with standard cable"", ""Coffee maker"", ""Dishes and silverware"", ""Ethernet connection"", ""Hot water""]",$166.00,91,1125,91,91,1125,1125,91.0,1125.0,,t,30,60,79,218,2025-09-24,9,0,0,79,0,0,0,2016-01-09,2019-07-22,4.33,4.44,4.67,4.56,4.0,5.0,4.67,,f,12,12,0,0,0.08
10813,https://www.airbnb.com/rooms/10813,20250923202714,2025-09-24,city scrape,The Back Bay Nook  -Brownstone in Prestigious Area,"Stunning Back Bay furnished studio apartment. Classic brick brownstone on a quiet street. Elegant large studio apartment with bow window overlooking tree lined Marlborough St. Front facing studio apt. Queen murphy bed,  includes all utilities, A/C <br />Wi-Fi, TV, bedding , towels, utensils, table and chairs works space. <br />Short walk to Newbury St, Fenway Park, ""T"" Station & hundreds of restaurants, cafes and shops.  This apt does not come with a parking spot.   Fireplace is not operational.","Wander around this quintessential neighborhood in the heart of Boston for high-end shops, restaurants, and the feeling of city bustle. Its most identifiable skyscrapers, the Prudential Center and John Hancock Tower, are highlights of the city skyline. Visit Newbury street to explore unique and trendy boutiques – as well as every other kind of store imaginable – all housed in beautiful brownstone buildings. In nice weather, restaurant patio seating is packed with Bostonians and tourists alike soaking up the sunshine and enjoying the food. Commonwealth Ave offers a beautiful stroll down residential tree-lined streets. Keep walking towards the Charles River and enjoy a beautiful view by the water. In warmer months, people run and bike on paths running along the esplanade, and sail and kayak on the Charles River. Boylston street, also full of shops, bars, and restaurants, is the finish line of the Boston Marathon. Head towards Copley Square and check out the Boston Public Library, which is",https://a0.muscache.com/pictures/20b5b9c9-e1f4-43a5-9689-1293a4507510.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,"",within a few hours,94%,59%,f,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,21,29,"['email', 'phone']",t,t,Neighborhood highlights,Back Bay,,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1,"[""Toaster"", ""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""Baking sheet"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Laundromat nearby"", ""Freezer"", ""Dining table"", ""Housekeeping available every day - available at extra cost"", ""Hangers"", ""Wine glasses"", ""Cleaning products"", ""Window AC unit"", ""Wifi"", ""Long term stays allowed"", ""Bed linens"", ""Kitchen"", ""Microwave"", ""Stove"", ""Body soap"", ""Bathtub"", ""Clothing storage: closet"", ""Fire extinguisher"", ""TV with standard cable"", ""Coffee maker"", ""Dishes and silverware"", ""Hot water""]",$202.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,0,0,0,117,2025-09-24,6,1,0,1,0,64,12928,2019-03-17,2025-06-30,5.0,5.0,4.83,5.0,5.0,5.0,4.83,,f,12,12,0,0,0.08
10986,https://www.airbnb.com/rooms/10986,20250923202714,2025-09-23,city scrape,The Olive & Vine in The North End-Walk to MGH Tuft,"Chic furnished studio apartment is located on Waterfront & North End.  Close (10 min walk) to Mass General Hospital, Mass Eye & Ear, TD Boston Garden and Mass Transit station. One block to Hanover Street restaurants, shops & cafes.  Easy walk (5 min) to Fanieul Hall Marketplace, City Hall and Haymarket farmers market.  Take the ""T"" to Back Bay neighborhood, including Northeastern University, Berklee Univ or into Cambridge Ma.",,https://a0.muscache.com/pictures/46994/567b6064_original.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,"",within a few hours,94%,59%,f,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,21,29,"['email', 'phone']",t,t,,North End,,42.36377,-71.05206,Entire condo,Entire home/apt,2,1.0,1 bath,0,1,"[""GE gas stove"", ""Toaster"", ""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Iron"", ""Free washer \u2013 In building"", ""Carbon monoxide alarm"", ""Baking sheet"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Freezer"", ""Free dryer \u2013 In building"", ""Pets allowed"", ""Hot water kettle"", ""Hangers"", ""Wine glasses"", ""Window AC unit"", ""Wifi"", ""Long term stays allowed"", ""Ge stainless steel oven"", ""Bed linens"", ""Kitchen"", ""Microwave"", ""Bathtub"", ""Self check-in"", ""Fire extinguisher"", ""TV with standard cable"", ""Coffee maker"", ""Dishes and silverware"", ""Hot water""]",$202.00,60,1125,60,60,1125,1125,60.0,1125.0,,t,14,25,55,330,2025-09-23,2,1,0,65,1,120,24240,2024-01-05,2025-03-31,4.5,5.0,3.5,3.5,5.0,5.0,4.0,,f,12,12,0,0,0.10
18711,https://www.airbnb.com/rooms/18711,20250923202714,2025-09-23,city scrape,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,"Discover unmatched comfort and style at The Dorset, a charming 3-bedroom retreat nestled near Boston’s historic South End. Here, turn-of-the-century architecture meets modern amenities such as a washer and dryer, offering an ideal haven for both relaxation and exploration. Imagine yourself unwinding in a centrally climate controlled space designed with elegance and convenience in mind, just steps away from vibrant city life. Book your stay and start crafting unforgettable Boston memories today!","✔ Explore the vibrant South End nearby, famous for its Victorian brownstones and gardens<br />✔ Access Boston's public transport with a 10-minute walk to the T (subway)<br />✔ Discover an array of dining, shopping, and cultural activities nearby<br />✔ Feel the pulse of Boston's rich history and community spirit<br />✔ Don’t miss out—book your urban escape and dive into local adventures!<br /><br />Once its own city, Dorchester is now Boston’s largest and most diverse neighborhood, evident in the wide variety of global cuisines found on Dorchester Avenue. The district hosts UMass Boston and the John F. Kennedy Presidential Library, with artifacts from the president’s life and exhibits on the civil rights era. The Neponset River meanders past several parks, and nearby Franklin Park has woodland trails and a zoo.",https://a0.muscache.com/pictures/prohost-api/Hosting-18711/original/85a80a40-a836-40c5-86df-0d578840becb.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal

His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lance’s spaces.

Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within a day,84%,95%,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,60,97,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dorchester,,42.32212,-71.06096,Entire rental unit,Entire home/apt,6,1.0,1 bath,3,3,"[""Toaster"", ""Heating"", ""Dishwasher"", ""Bread maker"", ""Smoke alarm"", ""Private entrance"", ""Iron"", ""Carbon monoxide alarm"", ""Baking sheet"", ""Drying rack for clothing"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Laundromat nearby"", ""Freezer"", ""Dining table"", ""Smart lock"", ""Portable fans"", ""Pets allowed"", ""Shampoo"", ""Clothing storage"", ""Hangers"", ""Hot water kettle"", ""Wine glasses"", ""Blender"", ""Cleaning products"", ""Books and reading material"", ""Rice maker"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Air conditioning"", ""Single level home"", ""Luggage dropoff allowed"", ""Bed linens"", ""Oven"", ""Dryer"", ""Kitchen"", ""Microwave"", ""Stove"", ""Body soap"", ""Bathtub"", ""Housekeeping - available at extra cost"", ""Self check-in"", ""Fire extinguisher"", ""TV with standard cable"", ""Coffee maker"", ""Dishes and silverware"", ""Room-darkening shades"", ""Free street parking"", ""Hot water""]",$162.00,30,360,30,30,1125,1125,30.0,1125.0,,t,0,0,11,286,2025-09-23,51,0,0,21,0,0,0,2010-06-01,2023-08-19,4.3,4.5,4.71,4.56,4.46,4.24,4.48,,f,58,18,40,0,0.27
29765,https://www.airbnb.com/rooms/29765,20250923202714,2025-09-23,city scrape,Moroccan Decor Suite,The apartment is a unique space that offers a feeling of being in Morocco in the midst of Boston. Many of the furnishings were custom designed and handmade in the city of Fez in Morocco and are beautiful works of art. The lighting is also custom and creates much ambiance. <br /><br />Please note that stairs are required and we do not offer elevator or luggage service.,"Boston's oldest and most historic neighborhood, including the Freedom Trail, USS Constitution, and the site of the Battle of Bunker Hill, first battle of the American Revolution. Beautiful early American architecture, nice place to walk on gas-lit streets and by the harbor. Friendly people.",https://a0.muscache.com/pictures/621420/77d899c1_original.jpg,128280,https://www.airbnb.com/users/show/128280,Elizabeth,2010-05-19,"Boston, MA","Friendly art historian/designer. 

Born and raised in Asia, I love international design and traditional folk arts, which is why my spaces are eclectic, decorated in European, Pan-Asian, and Moroccan styles. One of the main reasons I like sharing my spaces is because, in this way, I am also sharing experiences and beauty I have encountered while traveling.",N/A,N/A,100%,f,https://a0.muscache.com/im/users/128280/profile_pic/1274308069/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/128280/profile_pic/1274308069/original.jpg?aki_policy=profile_x_medium,Charlestown,1,4,"['email', 'phone']",t,t,Neighborhood highlights,Charlestown,,42.37754,-71.06642,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Toaster"", ""Heating"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""First aid kit"", ""Host greets you"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Hot water kettle"", ""Noble Isle shampoo"", ""Hangers"", ""Wine glasses"", ""Coffee"", ""Mini fridge"", ""Cleaning products"", ""Window AC unit"", ""Noble Isle conditioner"", ""Wifi"", ""Extra pillows and blankets"", ""Bed linens"", ""Shower gel"", ""Kitchen"", ""Microwave"", ""Stove"", ""Fire extinguisher"", ""Clothing storage: walk-in closet"", ""TV with standard cable"", ""Coffee maker"", ""Handmade own brand body soap"", ""Dishes and silverware"", ""Hot water""]",$323.00,2,28,2,2,28,28,2.0,28.0,,t,1,1,1,173,2025-09-23,103,2,0,1,2,12,3876,2010-05-24,2024-10-27,4.97,4.96,4.97,5.0,4.97,4.81,4.94,STR-454024,f,1,1,0,0,0.55
40601,https://www.airbnb.com/rooms/40601,20250923202714,2025-09-23,city scrape,Private room & bath - Jamaica Plain,"Private bedroom and bathroom in my house in Jamaica Plain, a neighborhood of Boston.  Convenient to public transportation, downtown Boston and the medical centers.  Room has a queen bed. House can accomodate others on a queen air mattress in study.","Jamaica Plain is a diverse neighborhood of Boston that is close to almost everything.  It has a great selection of shops, groceries, restaurants and bars.  One will find professionals, artists, craftsmen, laborers of all ethnicities and of course the hipsters.",https://a0.muscache.com/pictures/508984/678a928d_original.jpg,174986,https://www.airbnb.com/users/show/174986,Robert,2010-07-20,"Boston, MA","Professional single male in commercial real estate.
Outside of work I like walking, working out and drawing.  Have hosted guests from all over the world since 2003.  I look forward to meeting many more.",within a day,100%,70%,t,https://a0.muscache.com/im/users/174986/profile_pic/1279655476/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/174986/profile_pic/1279655476/original.jpg?aki_policy=profile_x_medium,Jamaica Plain,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Jamaica Plain,,42.31347,-71.11082,Private room in home,Private room,2,1.5,1.5 baths,1,1,"[""Toaster"", ""Fire pit"", ""Record player"", ""Dishwasher"", ""Smoke alarm"", ""Iron"", ""Free washer \u2013 In building"", ""Carbon monoxide alarm"", ""First aid kit"", ""Private backyard \u2013 Fully fenced"", ""Host greets you"", ""Exterior security cameras on property"", ""Baking sheet"", ""Thermadore stainless steel gas stove"", ""Drying rack for clothing"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Laundromat nearby"", ""Freezer"", ""Dining table"", ""Free dryer \u2013 In building"", ""Portable fans"", ""Shampoo"", ""55 inch HDTV with Amazon Prime Video"", ""Hot water kettle"", ""Hangers"", ""Wine glasses"", ""Blender"", ""Barbecue utensils"", ""Fast wifi \u2013 490 Mbps"", ""Cleaning products"", ""Thermadore stainless steel single oven"", ""Books and reading material"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hammock"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Bed linens"", ""Coffee maker: french press, pour-over coffee"", ""Outdoor dining area"", ""Indoor fireplace: gas"", ""Central heating"", ""Kitchen"", ""Thermadore refrigerator"", ""Microwave"", ""Body soap"", ""Bathtub"", ""Private patio or balcony"", ""BBQ grill: charcoal"", ""Fire extinguisher"", ""Garden view"", ""Outdoor furniture"", ""Clothing storage: closet and dresser"", ""Central air conditioning"", ""Dishes and silverware"", ""Free street parking"", ""Hot water""]",$91.00,14,120,14,21,120,120,15.9,120.0,,t,6,36,66,341,2025-09-23,103,3,0,76,4,84,7644,2010-08-27,2025-05-11,4.98,4.95,5.0,4.97,4.94,4.93,4.93,STR-551851,f,1,0,1,0,0.56
