id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
45026,https://www.airbnb.com/rooms/45026,20250621143231,2025-06-21,city scrape,Apartment raised basement,"Beautiful apartment, freshly repainted, 65 m2, in raised floor, 1910 Brussels maison de maître. With en suite shower, toilet, kitchen with washing machine, microwave, cooker, fridge, coffee machine, living room and bedroom. Electric sauna. Near Avenue Louise shopping area, as well as near bus and Horta metro station.",,https://a0.muscache.com/pictures/5622354/dd7be407_original.jpg,198732,https://www.airbnb.com/users/show/198732,Christine,2010-08-11,"Brussels, Belgium","(Hidden by Airbnb) Likes:
L'Arbre, CINEMATEK, Raindance Brussels, Grégoire De Mévius, Max Havelaar Belgium, Evrópuár gegn fátækt og félagslegri einangrun, Nuits Botanique, Sportograf, Brussels Jazz Marathon, Greenpeace Belgium, (Website hidden by Airbnb) Social Europe, Mileu, Nuit Blanche Brussels, equnews// equestrian newssite, The Climate Pool, Louis de Funès, Malcolm X (El-Hajj Malik El-Shabazz), Benoît Poelvoorde, Stanley Kubrick, Chess Pro, SCRABBLE® Worldwide (excluding U.S. and Canada), Lexulous, The Open University, The Breast Cancer Site, French and Saunders, Boris Vian, Quentin Tarantino, Christos Doulkeridis, Doctors Without Borders/ Médecins Sans Frontières (MSF), Andy Warhol, Clint Eastwood, Tintin, Alfred Hitchcock, NKA* PHOTOGRAPHY, Kim Novak, EU Careers, Ateliers d'art contemporain Bxl, Lost Highway, Matière Grise - RTBF, Troy Agency, Heavenly Creatures, We Love Short Films, The Avengers, The Prisoner, Brussels Mania, Les Chats Persans, Twizz, RTBFInfo, OGM J'EN VEUX PAS, Schtroumpf Haribo, Le Presbytère - gîte et chambres d'hôtes dans le Gers, EURES, Brussels Short Film Festival, (Phone number hidden by Airbnb) European Year for Combating Poverty and Social Exclusion, KAT Brussels, Desperate Housewives, Jordi Savall, Red Hot Chili Peppers, Twin Peaks, Françoise Hardy, Haendel, Horse Riding, Purcell, Pinter's Plays, The Decameron, Last Exit to Brooklyn, 24, Lost, My Beautiful Laundrette, On the Waterfront, The Name of the Rose, The Bitter Tears of Petra von Kant, Foodshare, Réseau des Arts et Lettres en Belgique francophone, Editions Soliflor, Europäisches Jahr gegen Armut und Soziale Ausgrenzung, L'oeil NKA ne dort jamais",within an hour,100%,99%,t,https://a0.muscache.com/im/users/198732/profile_pic/1317885281/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/198732/profile_pic/1317885281/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,Saint-Gilles,,50.82677,4.34987,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Fire extinguisher"", ""Dedicated workspace"", ""Dishes and silverware"", ""HDTV"", ""Self check-in"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Iron"", ""Coffee"", ""Bed linens"", ""Shampoo"", ""Body soap"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Lockbox"", ""Wifi"", ""Hot water kettle"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Coffee maker: espresso machine"", ""Heating"", ""Air conditioning"", ""Dining table"", ""Smoke alarm"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""Shower gel"", ""Stove"", ""First aid kit"", ""Portable fans"", ""Hangers"", ""Washer"", ""Private sauna"", ""Books and reading material"", ""Clothing storage: closet and dresser"", ""Drying rack for clothing"", ""Cleaning products"", ""Essentials"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Cooking basics""]",$64.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,15,38,60,328,2025-06-21,161,70,7,157,77,255,16320,2010-11-03,2025-06-18,4.83,4.85,4.78,4.85,4.94,4.88,4.73,,f,1,1,0,0,0.90
48180,https://www.airbnb.com/rooms/48180,20250621143231,2025-06-21,city scrape,in renewal,"Top Apart, perfect location 0 default, 2rooms spacious living room, central location, quite, terrace perfectly oriented, easy to clean, fully furnished",,https://a0.muscache.com/pictures/miso/Hosting-48180/original/1fbe60ae-e413-43df-b656-3b4cd337d7bf.png,219560,https://www.airbnb.com/users/show/219560,Ahmet,2010-09-01,"Woluwe-Saint-Pierre, Belgium","",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/219560/profile_pic/1283331825/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/219560/profile_pic/1283331825/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,Woluwe-Saint-Pierre,,50.83771,4.40707,Entire rental unit,Entire home/apt,1,1.5,1.5 baths,2,2,[],$200.00,2,14,2,2,14,14,2.0,14.0,,t,29,59,89,364,2025-06-21,0,0,0,193,0,0,0,,,,,,,,,,,f,1,1,0,0,
52796,https://www.airbnb.com/rooms/52796,20250621143231,2025-06-21,city scrape,Bright apartment in Ixelles/Louise,"You will love this bright apartment in Ixelles. Your own apartment in a traditional house. In a very cool and calm street. Very close to everything to visit Brussels (by foot, by subway, by tramway). <br /><br />You will be very next to restaurants, cinema, park your car or bike, shopping, etc. <br />The historic part of Brussel (Grand Place, etc.) is less than 25 mins by foot and all the public transports (trams, bus..) are 5 mins by foot from our house ..<br /><br />The best way to know more ? Check our reviews  !","You will be in a very silent and little street but, Avenue Louise is just on the corner ! <br /><br />Avenue Louise was recently nominated, in january 2012, the 8th Avenue the more friendly in the world ! Before Avenue des Champs Elysées (Paris) and 5th Avenue (New York) !<br /><br />But you are also very close to  typical areas in Brussels (Grand Place,  Sablon, Place Saint Boniface, Matonge, Flagey) where you can relax and enjoy your stay.",https://a0.muscache.com/pictures/2507847/3111e71f_original.jpg,244722,https://www.airbnb.com/users/show/244722,Pierre,2010-09-25,"Brussels, Belgium","I'm actor mostly for theater but also movies and television. I'm often outside on evening time and I rent the second floor of my house recently renovated (outside & inside).

I try to care my guests on the best way, giving informations and good links on Brussel. 

If you send your request with picture of you, information of the purpose of your trip : it is a must !

You're welcome,

Pierre

",N/A,N/A,88%,t,https://a0.muscache.com/im/users/244722/profile_pic/1430647746/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/244722/profile_pic/1430647746/original.jpg?aki_policy=profile_x_medium,Louise,1,1,"['email', 'phone']",t,t,"Ixelles, Bruxelles, Belgium",Ixelles,,50.83362,4.36057,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Lotus body soap"", ""HDTV with DVD player, Netflix, premium cable, standard cable"", ""Fire extinguisher"", ""Dedicated workspace"", ""Paid parking on premises"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Stainless steel oven"", ""Toaster"", ""Extra pillows and blankets"", ""Iron"", ""Coffee"", ""Shampoo"", ""Bed linens"", ""Private entrance"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Wifi"", ""Room-darkening shades"", ""Coffee maker"", ""Hot water kettle"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Paid parking off premises"", ""Mini fridge"", ""Freezer"", ""Refrigerator"", ""Heating"", ""Dining table"", ""Smoke alarm"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""Shower gel"", ""Rice maker"", ""Blender"", ""Wine glasses"", ""Pocket wifi"", ""First aid kit"", ""Portable fans"", ""Stove"", ""Hangers"", ""Bluetooth sound system"", ""Books and reading material"", ""Host greets you"", ""Drying rack for clothing"", ""Cleaning products"", ""Essentials"", ""Hot water"", ""Cooking basics"", ""Baking sheet"", ""Shared patio or balcony"", ""Hair dryer"", ""Garden view""]",$83.00,5,120,5,5,120,120,5.0,120.0,,t,0,0,0,222,2025-06-21,133,10,0,51,6,100,8300,2011-02-07,2025-05-05,4.88,4.88,4.85,4.92,4.94,4.85,4.76,,f,1,1,0,0,0.76
80257,https://www.airbnb.com/rooms/80257,20250621143231,2025-06-21,city scrape,Private New York Apt-Brussels Midi Station&Center,"A beautiful suite, tastefully renovated and comfortable with ""New York"" as theme. Ideal for 1-3 people.<br />The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.",,https://a0.muscache.com/pictures/31ff57bd-de44-448c-beb6-aba2c4ce0279.jpg,433586,https://www.airbnb.com/users/show/433586,Kristella/Francesco,2011-03-10,"Brussels, Belgium","FR
Nous travaillons ensemble, père et fille depuis des années en tant que hôtelier. 
Nous avons 15 appartements originaux et unique. Les décorations de nos appartements sont inspirées par nos voyages et rencontres. 
Nous adorons faire de nouvelles connaissance, et nous sommes présent pour vous aider au mieux pour visité notre ville, Bruxelles! 
Nous somme une famille multiculturelles et parlons plusieurs langues:
Français, Anglais, Néerlandais, Italien, Espagnol et Arabe. 

Au plaisir de vous rencontrées, vous êtes la bienvenue chez nous! 
Kristella, Francesco 
_____________________________________________________________
ENG

We have been working together, father and daughter for years as a hotelier.
We have 15 original and unique apartments. The decorations of our apartments are inspired by our travels and encounters.
We love to meet new people, and we are here to help you better to visit our city, Brussels!
We are a multicultural family and speak several languages:
French, English, Dutch, Italian, Spanish and Arabic.

Looking forward to meeting you, you are welcome to our home!
Kristella, Francesco",within a few hours,70%,90%,f,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_x_medium,Cureghem Bara,15,16,"['email', 'phone']",t,t,,Anderlecht,,50.83992,4.33636,Entire serviced apartment,Entire home/apt,3,1.0,1 bath,0,2,"[""Luggage dropoff allowed"", ""Paid parking on premises"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Iron"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Elevator"", ""Smoke alarm"", ""Microwave"", ""Kitchen"", ""Stove"", ""Hangers"", ""Washer"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Hair dryer"", ""Cooking basics""]",$147.00,1,365,1,1,3,3,1.0,3.0,,t,10,34,59,238,2025-06-21,10,1,0,162,1,6,882,2012-10-24,2024-12-01,4.67,4.9,4.6,4.8,4.7,4.3,4.4,,t,15,15,0,0,0.06
80320,https://www.airbnb.com/rooms/80320,20250621143231,2025-06-21,city scrape,Private Medina Apt- Brussels Midi Station & Center,"Newly renovated apartment, oriental decor and comfortable. Ideal for 1 to 3 people. The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.",,https://a0.muscache.com/pictures/64ce5706-ed87-41ef-a889-8d25342f0822.jpg,433586,https://www.airbnb.com/users/show/433586,Kristella/Francesco,2011-03-10,"Brussels, Belgium","FR
Nous travaillons ensemble, père et fille depuis des années en tant que hôtelier. 
Nous avons 15 appartements originaux et unique. Les décorations de nos appartements sont inspirées par nos voyages et rencontres. 
Nous adorons faire de nouvelles connaissance, et nous sommes présent pour vous aider au mieux pour visité notre ville, Bruxelles! 
Nous somme une famille multiculturelles et parlons plusieurs langues:
Français, Anglais, Néerlandais, Italien, Espagnol et Arabe. 

Au plaisir de vous rencontrées, vous êtes la bienvenue chez nous! 
Kristella, Francesco 
_____________________________________________________________
ENG

We have been working together, father and daughter for years as a hotelier.
We have 15 original and unique apartments. The decorations of our apartments are inspired by our travels and encounters.
We love to meet new people, and we are here to help you better to visit our city, Brussels!
We are a multicultural family and speak several languages:
French, English, Dutch, Italian, Spanish and Arabic.

Looking forward to meeting you, you are welcome to our home!
Kristella, Francesco",within a few hours,70%,90%,f,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_x_medium,Cureghem Bara,15,16,"['email', 'phone']",t,t,,Anderlecht,,50.83992,4.33636,Entire serviced apartment,Entire home/apt,3,1.0,1 bath,0,2,"[""Fire extinguisher"", ""Luggage dropoff allowed"", ""Paid parking on premises"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Iron"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Refrigerator"", ""Oven"", ""Heating"", ""Elevator"", ""Smoke alarm"", ""Microwave"", ""Kitchen"", ""Stove"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Hair dryer"", ""Cooking basics""]",$163.00,1,365,1,1,3,3,1.0,3.0,,t,4,17,47,223,2025-06-21,75,0,0,147,0,0,0,2011-05-06,2023-05-28,4.68,4.77,4.87,4.71,4.59,4.49,4.58,,t,15,15,0,0,0.44
80373,https://www.airbnb.com/rooms/80373,20250621143231,2025-06-21,city scrape,Private Villa Romaine Apt- Midi station & Center,"A beautiful suite, tastefully renovated and comfortable. Ideal for 1-3 people.<br />The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.",,https://a0.muscache.com/pictures/274a71d8-6274-423f-834e-79da29a27218.jpg,433586,https://www.airbnb.com/users/show/433586,Kristella/Francesco,2011-03-10,"Brussels, Belgium","FR
Nous travaillons ensemble, père et fille depuis des années en tant que hôtelier. 
Nous avons 15 appartements originaux et unique. Les décorations de nos appartements sont inspirées par nos voyages et rencontres. 
Nous adorons faire de nouvelles connaissance, et nous sommes présent pour vous aider au mieux pour visité notre ville, Bruxelles! 
Nous somme une famille multiculturelles et parlons plusieurs langues:
Français, Anglais, Néerlandais, Italien, Espagnol et Arabe. 

Au plaisir de vous rencontrées, vous êtes la bienvenue chez nous! 
Kristella, Francesco 
_____________________________________________________________
ENG

We have been working together, father and daughter for years as a hotelier.
We have 15 original and unique apartments. The decorations of our apartments are inspired by our travels and encounters.
We love to meet new people, and we are here to help you better to visit our city, Brussels!
We are a multicultural family and speak several languages:
French, English, Dutch, Italian, Spanish and Arabic.

Looking forward to meeting you, you are welcome to our home!
Kristella, Francesco",within a few hours,70%,90%,f,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_x_medium,Cureghem Bara,15,16,"['email', 'phone']",t,t,,Anderlecht,,50.83992,4.33636,Entire serviced apartment,Entire home/apt,3,1.0,1 bath,0,2,"[""Luggage dropoff allowed"", ""Paid parking on premises"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Iron"", ""Shampoo"", ""Bed linens"", ""TV with standard cable"", ""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Refrigerator"", ""Oven"", ""Heating"", ""Elevator"", ""Smoke alarm"", ""Microwave"", ""Kitchen"", ""Stove"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Hair dryer"", ""Cooking basics""]",$141.00,1,365,1,1,3,365,1.0,11.9,,t,4,27,50,225,2025-06-21,19,1,0,149,1,6,846,2016-04-07,2024-12-16,4.63,4.84,4.79,4.74,4.68,4.32,4.53,,t,15,15,0,0,0.17
96293,https://www.airbnb.com/rooms/96293,20250621143231,2025-06-21,city scrape,Big Family N°1 Apt- Brussels Midi Station & Center,"Decorated in shades of apple green, this spacious apartment is ideal for a family or group of friends from max 6p.<br /><br />The open room has a single bed, a double bed and a seating area with cable TV, a dining table, and an open kitchen. The separate bedroom contains a double bed and a single bed with TV, wardrobe and dressers. the apartment has two bathrooms, with bath, and the other with shower and toilet.",,https://a0.muscache.com/pictures/a61aebc9-7247-4731-8455-8bf50422fe8b.jpg,433586,https://www.airbnb.com/users/show/433586,Kristella/Francesco,2011-03-10,"Brussels, Belgium","FR
Nous travaillons ensemble, père et fille depuis des années en tant que hôtelier. 
Nous avons 15 appartements originaux et unique. Les décorations de nos appartements sont inspirées par nos voyages et rencontres. 
Nous adorons faire de nouvelles connaissance, et nous sommes présent pour vous aider au mieux pour visité notre ville, Bruxelles! 
Nous somme une famille multiculturelles et parlons plusieurs langues:
Français, Anglais, Néerlandais, Italien, Espagnol et Arabe. 

Au plaisir de vous rencontrées, vous êtes la bienvenue chez nous! 
Kristella, Francesco 
_____________________________________________________________
ENG

We have been working together, father and daughter for years as a hotelier.
We have 15 original and unique apartments. The decorations of our apartments are inspired by our travels and encounters.
We love to meet new people, and we are here to help you better to visit our city, Brussels!
We are a multicultural family and speak several languages:
French, English, Dutch, Italian, Spanish and Arabic.

Looking forward to meeting you, you are welcome to our home!
Kristella, Francesco",within a few hours,70%,90%,f,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_x_medium,Cureghem Bara,15,16,"['email', 'phone']",t,t,,Anderlecht,,50.84053,4.3363,Entire serviced apartment,Entire home/apt,6,2.0,2 baths,1,4,"[""Luggage dropoff allowed"", ""Paid parking on premises"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Iron"", ""Shampoo"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Elevator"", ""Smoke alarm"", ""Microwave"", ""Kitchen"", ""Stove"", ""Hangers"", ""Washer"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Hair dryer"", ""Cooking basics""]",$228.00,1,365,1,1,3,365,1.0,14.9,,t,12,33,53,224,2025-06-21,57,1,0,147,1,6,1368,2011-05-06,2025-04-19,4.35,4.42,4.5,4.53,4.41,3.84,4.22,,t,15,15,0,0,0.33
96642,https://www.airbnb.com/rooms/96642,20250621143231,2025-06-21,city scrape,Private Violetta Apt-Brussels Midi Station &Center,"A beautiful suite, tastefully renovated and comfortable. Ideal for 1-3 people.<br />The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTY2NDI%3D/original/54a5fe76-ee0e-4185-82c3-781d4aee4f5f.jpeg,433586,https://www.airbnb.com/users/show/433586,Kristella/Francesco,2011-03-10,"Brussels, Belgium","FR
Nous travaillons ensemble, père et fille depuis des années en tant que hôtelier. 
Nous avons 15 appartements originaux et unique. Les décorations de nos appartements sont inspirées par nos voyages et rencontres. 
Nous adorons faire de nouvelles connaissance, et nous sommes présent pour vous aider au mieux pour visité notre ville, Bruxelles! 
Nous somme une famille multiculturelles et parlons plusieurs langues:
Français, Anglais, Néerlandais, Italien, Espagnol et Arabe. 

Au plaisir de vous rencontrées, vous êtes la bienvenue chez nous! 
Kristella, Francesco 
_____________________________________________________________
ENG

We have been working together, father and daughter for years as a hotelier.
We have 15 original and unique apartments. The decorations of our apartments are inspired by our travels and encounters.
We love to meet new people, and we are here to help you better to visit our city, Brussels!
We are a multicultural family and speak several languages:
French, English, Dutch, Italian, Spanish and Arabic.

Looking forward to meeting you, you are welcome to our home!
Kristella, Francesco",within a few hours,70%,90%,f,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_x_medium,Cureghem Bara,15,16,"['email', 'phone']",t,t,,Anderlecht,,50.83992,4.33636,Entire serviced apartment,Entire home/apt,3,1.0,1 bath,0,2,"[""Luggage dropoff allowed"", ""Paid parking on premises"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Iron"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Refrigerator"", ""Oven"", ""Heating"", ""Elevator"", ""Smoke alarm"", ""Microwave"", ""Kitchen"", ""Stove"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Hair dryer"", ""Cooking basics""]",$104.00,1,365,1,1,3,365,1.0,12.9,,t,9,22,42,200,2025-06-21,30,3,1,124,1,18,1872,2011-05-06,2025-05-22,4.57,4.52,4.83,4.76,4.52,4.38,4.48,,t,15,15,0,0,0.17
96694,https://www.airbnb.com/rooms/96694,20250621143231,2025-06-21,city scrape,Private Mimosa Apt -Brussels Midi Station & Center,"Newly renovated apartment. Ideal for 1 to 3 people. The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.",,https://a0.muscache.com/pictures/ce10a008-a13f-49ae-b498-f2d50237e6b9.jpg,433586,https://www.airbnb.com/users/show/433586,Kristella/Francesco,2011-03-10,"Brussels, Belgium","FR
Nous travaillons ensemble, père et fille depuis des années en tant que hôtelier. 
Nous avons 15 appartements originaux et unique. Les décorations de nos appartements sont inspirées par nos voyages et rencontres. 
Nous adorons faire de nouvelles connaissance, et nous sommes présent pour vous aider au mieux pour visité notre ville, Bruxelles! 
Nous somme une famille multiculturelles et parlons plusieurs langues:
Français, Anglais, Néerlandais, Italien, Espagnol et Arabe. 

Au plaisir de vous rencontrées, vous êtes la bienvenue chez nous! 
Kristella, Francesco 
_____________________________________________________________
ENG

We have been working together, father and daughter for years as a hotelier.
We have 15 original and unique apartments. The decorations of our apartments are inspired by our travels and encounters.
We love to meet new people, and we are here to help you better to visit our city, Brussels!
We are a multicultural family and speak several languages:
French, English, Dutch, Italian, Spanish and Arabic.

Looking forward to meeting you, you are welcome to our home!
Kristella, Francesco",within a few hours,70%,90%,f,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48f4b8d7-b7d5-4348-9bb9-a817263bbbf7.jpg?aki_policy=profile_x_medium,Cureghem Bara,15,16,"['email', 'phone']",t,t,,Anderlecht,,50.83992,4.33636,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1,3,"[""Luggage dropoff allowed"", ""Paid parking on premises"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Iron"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Refrigerator"", ""Oven"", ""Heating"", ""Elevator"", ""Smoke alarm"", ""Microwave"", ""Kitchen"", ""Stove"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Hair dryer"", ""Cooking basics""]",$180.00,1,365,1,1,3,365,1.0,12.9,,t,16,39,69,249,2025-06-21,49,1,0,173,2,6,1080,2011-09-22,2024-07-07,4.49,4.49,4.73,4.65,4.63,4.57,4.39,,t,15,15,0,0,0.29
97740,https://www.airbnb.com/rooms/97740,20250621143231,2025-06-22,city scrape,A la Villa des Roses Voltaire B&B,,"The neighborhood is very airy and close to the beautiful Josaphat Park, the work of King Leopold II. Beautiful place for joggers and lovers of beautiful homes from the early 20th century. Schaerbeek is the municipality of François Schuiten, an internationally renowned illustrator (Prix Angoulême 2002). He worked on the renovation and scenography of the Maison Aurique de Victor Horta and the construction of the new train museum located next to Schaerbeek train station just around the corner of our home.",https://a0.muscache.com/pictures/10195618/bfd459fc_original.jpg,517059,https://www.airbnb.com/users/show/517059,Benoît,2011-04-18,"Brussels, Belgium","Benoît Toussaint is Graphic designer and Annie Heneffe is travel agent.
We have two children's.
We like design, tennis, ski, long trips...
We are living in the Villa Voltaire and we would be pleased to help you if you have questions during your trip in Brussels.
Possibility to have a great breakfast in the apartment (demand one day before your arrival).",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/517059/profile_pic/1381480483/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/517059/profile_pic/1381480483/original.jpg?aki_policy=profile_x_medium,Schaerbeek,2,2,"['email', 'phone']",t,f,"Brussels, Belgium",Schaerbeek,,50.87048,4.37904,Room in bed and breakfast,Hotel room,2,1.0,1 private bath,2,3,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shampoo"", ""TV with standard cable"", ""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Oven"", ""Refrigerator"", ""Heating"", ""Smoke alarm"", ""Microwave"", ""Kitchen"", ""Breakfast"", ""Stove"", ""First aid kit"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Hair dryer"", ""Cooking basics""]",$81.00,2,30,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2025-06-22,3,0,0,0,0,0,0,2012-01-23,2016-05-26,4.67,4.33,5.0,4.67,5.0,4.67,5.0,,t,2,0,1,0,0.02
